i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.001;0.101;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.055570360349682;4.633787371351627;-0.48125144839286804;-0.04867549240589142;0.14961694180965424;0.5049447618343665;-1.8717378392880863;0.4966669979824614;0.3150130313479851;0.15010304684744763;0.2769517742246104;-0.4662411437081233;-0.020980314983430375;0.5760510563850403;-0.3035184144973755;0.13377024233341217;0.7030781358547721;2.183832521061596;4.86483685806696;0.6668735083734596;-0.6591393159029547;0.10127012590745361;0.5101371247947448;-0.2933914019066301;0.15586954355239868;0.3626527786254883;0.15076595544815063;0.3040505748762319;0.5344345852336365;2.125481017990271;0.5249683337733045;0.4462580192373942;-0.2764878509646259;0.20049534547613812;0.3350039935290257;
1;0.3;0.05;0.002;0.10200000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.050366304545738;4.653267247329781;-0.4742918908596039;-0.04513981193304062;0.16872969269752502;0.4985018450861615;-1.8704235163803027;0.48201152357545085;0.31385854161127447;0.14549303491244375;0.278098833033011;-0.4597425873683595;-0.017329928629739522;0.5790976881980896;-0.3006117045879364;0.15329600870609283;0.7036603771669847;2.1799427881654356;4.861521591952206;0.6726989704252518;-0.6652322317386817;0.09994990078617706;0.5125744650242214;-0.2906167145093187;0.16107125580310822;0.3614374101161957;0.17428629100322723;0.304321268054957;0.550024728315631;2.1424240341357628;0.5187971514382724;0.436319557058128;-0.2806701417483961;0.204703211508921;0.3333703959413561;
2;0.3;0.05;0.003;0.10300000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.048948023540367;4.669211724668379;-0.47325387597084045;-0.04331715404987335;0.18196892738342285;0.49822330730958686;-1.8688684198057268;0.48286455126069283;0.31354486133421644;0.1455845605165402;0.27769680554212156;-0.45869541991918644;-0.015547473495661195;0.5788823366165161;-0.2988809645175934;0.17322519421577454;0.7022455234948027;2.18007960373464;4.860260128431648;0.676721251450018;-0.6693361713167005;0.09970326941068192;0.5119487194848461;-0.2889106375765252;0.16649071872234344;0.3602678179740906;0.19416658580303192;0.3048211693329356;0.5661060212234329;2.1610035270733268;0.5137352161833432;0.42682425780014815;-0.28591069462386165;0.20917314450235824;0.3316767485117044;
3;0.3;0.05;0.004;0.10400000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.054338940800684;4.689281856489812;-0.4760889708995819;-0.04584438353776932;0.1908015012741089;0.5029301733414229;-1.8733330939726651;0.49013342964755735;0.3147393491961077;0.14816153850204364;0.277685103023365;-0.46127281704937756;-0.018075873235432815;0.5765052437782288;-0.2963132858276367;0.19278796017169952;0.6985792588988656;2.1810058468280196;4.857526102765656;0.6800734246205139;-0.6729231893683955;0.09835773525930923;0.5092129248413892;-0.2864775123017058;0.1725102812051773;0.3572590947151184;0.21141111850738525;0.30419711360854373;0.5871023961382448;2.1788812111497418;0.5073539173151393;0.41640749148571177;-0.28984961350602845;0.2141510303537485;0.32827413336451555;
4;0.3;0.05;0.005;0.10500000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.061480172288146;4.723342077761972;-0.4813343286514282;-0.047492191195487976;0.1974528729915619;0.5096812215497415;-1.8746413538278772;0.505179847942992;0.3163307914675425;0.1530929779781665;0.2768171051872671;-0.4660250308536116;-0.019810480676761267;0.5690069794654846;-0.2942894697189331;0.21165424585342407;0.691039762614429;2.1868388184602687;4.8556603770755835;0.6861058750556159;-0.6790761697549713;0.09796339855655188;0.5010993624899875;-0.2844931298632779;0.1847710907459259;0.3531233072280884;0.2261611521244049;0.3064030363064052;0.6269955890426537;2.229796165871544;0.4965136602351422;0.3925462080640022;-0.30402843507585164;0.22402571155232612;0.3227204637205032;
5;0.3;0.05;0.006;0.10600000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.064625567000167;4.756252791343929;-0.48060929775238037;-0.04665669798851013;0.20836549997329712;0.5099928196551594;-1.8747878321448148;0.505774991183192;0.31703505709234303;0.1535989032017397;0.2773420349690393;-0.4652494074322064;-0.0189224944916062;0.5625292658805847;-0.29050642251968384;0.22467175126075745;0.6833316668214203;2.1898377348553533;4.850541325348358;0.6926043849337927;-0.6860053427412459;0.09538083539151354;0.4939287316064601;-0.2809683389805325;0.19531947374343872;0.34847772121429443;0.23588939011096954;0.3076317740802625;0.6629052190196956;2.2718419113442003;0.48604665963914834;0.37142139385122536;-0.3135083787333076;0.23246161312856126;0.3171268833409637;
6;0.3;0.05;0.007;0.10700000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.074817768799513;4.783096111194052;-0.4751201570034027;-0.04535482078790665;0.2240724116563797;0.5056202499962802;-1.8768757709916108;0.49317377295102316;0.31933104655523065;0.15117892944964142;0.2812778849901272;-0.4600022640584386;-0.01722703228889393;0.5513964295387268;-0.28755244612693787;0.23556549847126007;0.6723385346975616;2.1979419978079027;4.846614008665535;0.6961617517466643;-0.6899000116193243;0.09316200171014165;0.48240642837679437;-0.2782362459559237;0.20539136230945587;0.3435675799846649;0.24287927150726318;0.30874480163850954;0.6978528018223684;2.3123453050368643;0.4775306166630106;0.35214216304337803;-0.3225389695179269;0.24060557861379367;0.3113136830328722;
7;0.3;0.05;0.008;0.10800000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.086701088094179;4.796810508925646;-0.46247658133506775;-0.04206898808479309;0.24109455943107605;0.4938308564372283;-1.8795667369995008;0.46096458472412283;0.32203490770905263;0.14324506184609223;0.28842214554345036;-0.4481520751504585;-0.013226773530448054;0.5398805141448975;-0.2849891185760498;0.24284294247627258;0.6613148483485162;2.207134351094678;4.843174712366163;0.6965495544636997;-0.6906008331660001;0.09083925943117946;0.47082043082829744;-0.27590519263293184;0.21175940334796906;0.3399631977081299;0.24712616205215454;0.30874717738580426;0.7207595528407383;2.3352639121192573;0.47319136060840167;0.34152632447871095;-0.3275207374235907;0.24591203579584014;0.3072111239657708;
8;0.3;0.05;0.009000000000000001;0.10900000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.094490331312929;4.829131739089603;-0.4521493911743164;-0.037737976759672165;0.2536815106868744;0.4839326345721735;-1.878866091600302;0.4355033651636673;0.32382298366212203;0.13661017713583498;0.2935966352851387;-0.4384883734607329;-0.008378313231158296;0.5288681983947754;-0.2819799780845642;0.24992583692073822;0.6504831181247026;2.215624239712627;4.838664767826467;0.701680803599404;-0.6960938816496564;0.08837000661887244;0.45925881022980974;-0.27314297742267696;0.22226360440254211;0.3326767683029175;0.2555633783340454;0.3090512281826445;0.7615706716226439;2.3775922805999765;0.46300707657362006;0.3203154904184456;-0.3343254994092445;0.2542951534443867;0.29924421836199305;
9;0.3;0.05;0.010000000000000002;0.11000000000000001;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.106178827757885;4.845202632463232;-0.43851029872894287;-0.034193895757198334;0.26096850633621216;0.47111927114008334;-1.8818549704649832;0.3966754343244976;0.32652961692735083;0.12615604586040177;0.30117477122692515;-0.4258946941429027;-0.004076418634505818;0.518137514591217;-0.27912434935569763;0.2566777467727661;0.6400167911831958;2.2243238572929025;4.83421402532973;0.7025849067202314;-0.6973777003694147;0.0853808771244659;0.44839974455427556;-0.27058626164325106;0.2278667539358139;0.3274562358856201;0.2613329589366913;0.307819974978998;0.7863411825765478;2.3962174772245084;0.4579700781472486;0.31061708363325224;-0.3365317515976318;0.25892846229913913;0.29380306072585693;
10;0.3;0.05;0.011000000000000003;0.11100000000000002;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.102869743212777;4.869380712068518;-0.43026483058929443;-0.026293646544218063;0.26637494564056396;0.4621300640473495;-1.8724386278285043;0.3795590847449264;0.3257604933239532;0.12069783668412928;0.3025754967449225;-0.4181950469208815;0.0039639031302741885;0.5099762678146362;-0.27596601843833923;0.26148688793182373;0.6314428044314423;2.230431115384272;4.8290916249247475;0.7081697816844256;-0.7033527907609516;0.08245781600156528;0.43964098873854107;-0.2677202368381827;0.23421674966812134;0.3206932842731476;0.26865485310554504;0.3062629438924334;0.816626520273204;2.4187273366888684;0.4504325571030882;0.2979774079043617;-0.3377853651019008;0.2640144904585575;0.2869147477629575;
11;0.3;0.05;0.012000000000000004;0.11200000000000002;5.0;0.3;4.71238898038469;4.71238898038469;0.5;0.5;1;4.10785685736003;4.891216909034195;-0.42057153582572937;-0.020929712802171707;0.27063867449760437;0.4525355700409617;-1.8689378540604915;0.35342415386629056;0.32692050130165695;0.11315122220671095;0.30671454984146773;-0.40925641360505827;0.009741742181975065;0.4988223910331726;-0.2722017168998718;0.2672707736492157;0.6201669127582222;2.238919003299539;4.822146681675257;0.7115207253953891;-0.7072392689089791;0.07793817537172264;0.4280984641422747;-0.26440789936269954;0.2405981421470642;0.31405675411224365;0.276103675365448;0.30509677559008236;0.8469506051541476;2.4432252953997953;0.4436727042085693;0.285267402688943;-0.33980579368640706;0.2691248824159585;0.28007617474360297;
