i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
0;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.740564048624868;0.4705899953842163;0.0379636213183403;0.028029877692461014;0.47211882010709877;1.4902982592721215;2.9225813720624534;0.30903615715893673;0.06714262595106674;-0.30165413010923314;0.47730425797932297;0.007798208307416989;3.489149570465088;2;-0.3429451286792755;-0.1792069524526596;0.011926593258976936;0.38694507761724356;-2.052322999282597;-0.9960213508195604;1.090963842841063;-0.9156619436259688;0.5930980621968455;-0.4345113230418724;-0.11989714623297507;3.5736072063446045;2;
1;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.7541852355425926;0.4664123058319092;0.041638582944869995;0.029986077919602394;0.4682672427376222;1.4817581727707028;2.8952023687497737;0.31662852657455415;0.07722723554446893;-0.30706608072356717;0.4741350293863561;0.010931974872513277;3.4152493476867676;2;-0.33885976672172546;-0.17488598823547363;0.02392761968076229;0.3813280089159468;-2.0472418988662913;-1.0119683811230842;1.0833714734254458;-0.918565871789917;0.5743957595724843;-0.43071635390071716;-0.11744641227822519;3.5313782691955566;2;
2;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.7403284504785366;0.4788123667240143;0.027623360976576805;0.05753055587410927;0.47960852014897964;1.5131687931683055;2.9823588263515273;0.3089075062951035;0.04898092197535145;-0.30499953561916116;0.4837104589215494;-0.002876592585339309;3.4838709831237793;2;-0.3384630084037781;-0.16722415387630463;0.03250103443861008;0.3775197023962881;-2.029688063532744;-1.0083801101841028;1.0910924937048965;-0.9230306202041804;0.5818052113763296;-0.4307660704241961;-0.10904363273867167;3.526099681854248;2;
3;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.753378259027424;0.479941189289093;0.022502148523926735;0.07198124378919601;0.4804684088100089;1.5239454157146393;2.9973924791881523;0.31617013960769574;0.04543394987356298;-0.31288865971529933;0.4844845842764493;-0.008786717447603197;3.4785923957824707;2;-0.34470316767692566;-0.16020633280277252;0.038517072796821594;0.3801135920703434;-2.0058616324375236;-0.9750670833627773;1.0838298603923042;-0.8971288206987797;0.6081505120853048;-0.43441604974680365;-0.09939128159424204;3.5313782691955566;2;
4;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.7778487319730503;0.4804067611694336;0.015703849494457245;0.08185738325119019;0.48066336147687583;1.5381193103416935;3.0125320193345817;0.3305711640800988;0.042545383602551674;-0.32782187976915655;0.4846612995296888;-0.017078338482458412;3.4574780464172363;2;-0.3591476082801819;-0.1503322720527649;0.04948985204100609;0.38934149092271364;-1.9672172648648425;-0.901788499896642;1.0694288359199011;-0.8388999814936868;0.663268313842058;-0.4430376064295506;-0.0840054406685591;3.5208210945129395;2;
5;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.7846422763260605;0.4800136685371399;0.008014247752726078;0.08623803406953812;0.48008056631103624;1.5541020038216011;3.0256285371363445;0.3347592371788116;0.03873311104887665;-0.3325108915284058;0.48388697964202754;-0.0252368414001145;3.4416422843933105;2;-0.3700629770755768;-0.14508767426013947;0.05614596977829933;0.3974884152076073;-1.9444410270319248;-0.8472881032404344;1.0652407628211882;-0.7983849968928881;0.7052086779898629;-0.4499014767648656;-0.07456680646115318;3.5208210945129395;2;
6;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.773611007372604;0.4778141975402832;0.0008988113258965313;0.0926624983549118;0.47781504291186183;1.5689152393965349;3.0292384021856433;0.32800144438247014;0.036774871514641476;-0.3259333618119941;0.48149168469174736;-0.03169452485530288;3.4416422843933105;2;-0.3723318874835968;-0.14435502886772156;0.05750548839569092;0.39933621022454063;-1.940659060410447;-0.8361619752419952;1.0719985556175298;-0.7955042961295847;0.7185776353919205;-0.45188231709655524;-0.0724972653285295;3.5208210945129395;2;
7;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.7861085053489947;0.4742993116378784;-0.005143088288605213;0.09950708597898483;0.47432719548567914;1.5816394517951748;3.0247698985857614;0.33567435867820755;0.039125267416250074;-0.33338639522876884;0.47821183837950343;-0.0384817278114821;3.446920871734619;2;-0.38567349314689636;-0.13844415545463562;0.06355864554643631;0.4097692368830003;-1.915437350035417;-0.7684540489579843;1.0643256413217923;-0.7397324525234538;0.7652352379880847;-0.45964673839924175;-0.061920631655827146;3.5102639198303223;2;
8;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.843022391065686;0.47139686346054077;-0.00972412433475256;0.10431380569934845;0.47149714895693;1.5914217194233695;3.0206570376220534;0.3744910789429752;0.04517899412170162;-0.37175586975597963;0.47591476287271095;-0.04689971131035052;3.4416422843933105;2;-0.426174521446228;-0.12160062044858932;0.07299305498600006;0.4431832957404908;-1.8487411966905312;-0.5547361924441128;1.0255089210570247;-0.5401551069313755;0.8717230108374433;-0.48019003213936556;-0.034428319364845;3.473313808441162;2;
9;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.8894305385677073;0.46849390864372253;-0.013643858022987843;0.11218070983886719;0.4686925402628295;1.5999109053238454;3.0154300507711405;0.41138993945433144;0.05176444762828144;-0.4081202325859101;0.47367035340655067;-0.054455881281578855;3.446920871734619;2;-0.45402324199676514;-0.10298225283622742;0.08168260753154755;0.4655560639412592;-1.7938438632880336;-0.3935942327523947;0.9886100605456685;-0.3791421316795576;0.9130175769379204;-0.49193745516472087;-0.011680495142435382;3.462756633758545;2;
10;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.9107772547978263;0.4664691388607025;-0.01727435737848282;0.12015166878700256;0.4667888826142766;1.6078115671590898;3.0140538394623095;0.4301070844331747;0.05470675418967945;-0.42661373058732655;0.47193981427967047;-0.05993573043721547;3.4416422843933105;2;-0.4620470702648163;-0.09068295359611511;0.08750681579113007;0.470861862134974;-1.7645964852226703;-0.3384729803015509;0.9698929155668252;-0.32205012890079304;0.9148639145477864;-0.4942520831548956;0.0008034378586635194;3.462756633758545;2;
11;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.9312369625349315;0.46677371859550476;-0.02167290635406971;0.1267954409122467;0.46727659821706;1.617194294349304;3.025810637717399;0.44913031224933747;0.051885107296450954;-0.44612327110567;0.47196222932514986;-0.06628523346463672;3.4416422843933105;2;-0.46699193120002747;-0.07726048678159714;0.09449698030948639;0.4733398848857558;-1.734754050295351;-0.2964770700848896;0.9508696877506624;-0.27779923816719326;0.9093848175314834;-0.4947718550167468;0.0136779949715512;3.4680352210998535;2;
12;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.9386693006486144;0.4689885377883911;-0.027755623683333397;0.13200874626636505;0.46980913488665155;1.6299092575672118;3.050882441932107;0.4563081956109736;0.04133507201857679;-0.4544321524748899;0.4731220449902488;-0.07319883893082238;3.4416422843933105;2;-0.46876752376556396;-0.06788226962089539;0.10092763602733612;0.4736570424539073;-1.7146067489637604;-0.2747713444752938;0.9436918043890263;-0.25604893977437393;0.908291342087678;-0.49437241774300134;0.022946864587872415;3.473313808441162;2;
13;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.947347131499858;0.47137853503227234;-0.0345270000398159;0.1382242739200592;0.47264134078698683;1.6439126197814509;3.0787594408622794;0.4648706281863874;0.029190099074488364;-0.4639532725031994;0.47429754493972115;-0.08092232729013585;3.436363697052002;2;-0.4682556092739105;-0.05699848011136055;0.1111256405711174;0.47171192729407035;-1.691925555898278;-0.2616375654081235;0.9351293718136124;-0.24188311929088005;0.9033047650879715;-0.4924439212029985;0.0333319963974366;3.4785923957824707;2;
14;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;2.939261392851405;0.4747822880744934;-0.04295036941766739;0.14399105310440063;0.4767210455836467;1.6610140528007749;3.115937004597123;0.4568861855132584;0.011720425751605309;-0.4567358297014333;0.4759543306496539;-0.08862395238781072;3.436363697052002;2;-0.4673691689968109;-0.05261905863881111;0.11660294979810715;0.4703219168407998;-1.6829098615274065;-0.25942894637516983;0.9431138144867415;-0.2419357131596652;0.9115540454485713;-0.4915627403127774;0.038536345906046016;3.473313808441162;2;
15;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;3.0125487500513195;0.47883477807044983;-0.057086147367954254;0.15455298125743866;0.48222564522336714;1.6894551531860733;3.1716125789753167;0.5353988838363367;-0.01607022055425626;-0.5351576523086751;0.4772277560150242;-0.11060191259882177;3.4416422843933105;2;-0.4857475459575653;-0.0050447070971131325;0.13358767330646515;0.4857737410291881;-1.5811814039421932;-0.08139676813625232;0.8646011161636632;-0.07029805069093994;0.8617385184268522;-0.4927773510266593;0.08112914474557209;3.473313808441162;2;
16;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;3.043968042456669;0.4808490574359894;-0.06560716032981873;0.16090232133865356;0.4853041474411917;1.706399244241074;3.203848124611803;0.5730361234566241;-0.03565159395434052;-0.5719260115038571;0.4772838980405553;-0.12279976148020444;3.436363697052002;2;-0.49379265308380127;0.018762430176138878;0.1529030203819275;0.4941489785739254;-1.5328180204818433;0.008731541004041127;0.8269638765433758;0.007220577246845682;0.8269323529599443;-0.4930705953591167;0.1014556654721333;3.4680352210998535;2;
17;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;3.054938800274154;0.48129478096961975;-0.07416906952857971;0.16401375830173492;0.48697609496086103;1.7236967557581806;3.2294653714546433;0.5866610307884578;-0.05148518138227666;-0.5843975026844398;0.4761462628313921;-0.13260881979702369;3.4310851097106934;2;-0.498276948928833;0.03305751457810402;0.16417759656906128;0.49937232312564983;-1.5045497511472519;0.06310820157962636;0.8133389692115421;0.05129429596540155;0.8117198864383622;-0.49314751933229284;0.11422950322194024;3.4680352210998535;2;
