i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.201203380282381;4.6850897864641805;-0.10664376616477966;0.5321229696273804;0.11310021579265594;0.44508780453006586;-0.24195551435702167;1.060882803190197;0.7661234646336681;0.6686623859589941;0.3739462216227362;0.027088711027019152;0.6069122139519276;0.030025269836187363;-0.0628330260515213;0.07994198054075241;0.16557811208559928;2.95924786592536;3.4982300844182204;0.8112429568014692;-0.28322538374991807;-0.7601963673681308;-0.02661980691379625;-0.21487229952514747;0.7033494710922241;0.24965186417102814;0.05779857933521271;0.7190939847722099;1.3611523452099537;3.762875501032031;0.11725795251891474;-0.06825336407646324;-0.09534624125351676;0.6896987982769315;0.23058261592032478;
1;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.217212789093758;4.658016886108351;-0.1038096621632576;0.5276971459388733;0.12138599157333374;0.4401150924504948;-0.23811306543131597;1.0417544974889204;0.7683956217535449;0.6633490720365054;0.3878141825131259;0.02886015224404348;0.6052599824414985;0.026629460975527763;-0.0624358244240284;0.08590570092201233;0.1646041471171396;2.9790997236624395;3.516801788814182;0.8068730687266545;-0.29569245211840645;-0.7507397170768125;-0.03250902944815352;-0.2125837678393909;0.6927534341812134;0.25263434648513794;0.06395842880010605;0.7093691311981442;1.3539313025912043;3.7330085534430637;0.1183856717646421;-0.0660043915229602;-0.09827811342740232;0.6795525558766213;0.23297872379965748;
2;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.226733958818732;4.636687838727176;-0.09820245951414108;0.5272185206413269;0.13404464721679688;0.4383598834674432;-0.22593988737260898;1.045893258141074;0.769729887506561;0.6661030930935606;0.3857340652471005;0.03501815910457104;0.604365333690747;0.02303227409720421;-0.0625007376074791;0.0969572439789772;0.16412487737410048;3.0007940714461223;3.5378682084569473;0.8036338485537531;-0.31019077835048003;-0.7413562190793572;-0.039005881572891796;-0.21077198142335055;0.6878473162651062;0.2512899339199066;0.07728517055511475;0.7042887011720398;1.354296602993712;3.7210987117053724;0.11928879769250905;-0.06532382272444236;-0.09981290216995987;0.6747825517202177;0.23132735348591466;
3;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.2289055552966737;4.615700721952723;-0.08355865627527237;0.5344817638397217;0.15167102217674255;0.4424437276624055;-0.18999821115514698;1.1005884316307843;0.7700324460333445;0.6864639941654154;0.3488798541884587;0.0537341425578107;0.6042577346774134;0.01792684942483902;-0.07396642863750458;0.11345589905977249;0.17488765028780284;3.0389073441415264;3.5904080653164927;0.8011395320623227;-0.34761329741242397;-0.7217960551950247;-0.05159581005764577;-0.2183256396765095;0.6938724517822266;0.24020244181156158;0.0882149487733841;0.7078952634621895;1.371422758914663;3.7469709371268585;0.12019034719072497;-0.06839710242726253;-0.09883094625359795;0.6801930312967741;0.22043625256084198;
4;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.227537269843721;4.593228752579057;-0.06342222541570663;0.5424134135246277;0.1703706979751587;0.4469362450542515;-0.1423850324533127;1.1690677296963683;0.7698418851102167;0.7085520557372743;0.3010158008818385;0.07828818573174823;0.6026165737009954;0.010814052075147629;-0.0913977175951004;0.13269314169883728;0.19170297343259393;3.0851522373904077;3.6606306525286403;0.7988183349141856;-0.3962498929319245;-0.6936113858253125;-0.06843592651123727;-0.2301199947601629;0.7045419216156006;0.22500553727149963;0.09989180415868759;0.7155457383440553;1.3951956827898784;3.788783149746147;0.12117017056334545;-0.07305924168887665;-0.09666725111534172;0.6899300732778253;0.2056720870484313;
5;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.2197539331401885;4.558130198617726;-0.03427964076399803;0.5550712943077087;0.19469936192035675;0.4563605774755331;-0.07518607126193366;1.280780255719759;0.7687529643284041;0.7366492869046546;0.21983845948007474;0.11305021661693287;0.5990389862037236;-0.0006449656211771071;-0.11677934974431992;0.15753376483917236;0.21678030919855862;-3.138617445301332;-2.523765475984221;0.795743716690392;-0.46094678405454903;-0.6486417539150621;-0.09283432243208692;-0.24650770052733234;0.7166922092437744;0.2092585563659668;0.12453831732273102;0.7249725201205197;1.4195127533163945;3.8344024168354096;0.12273129444867914;-0.07838868461831806;-0.09443614117941417;0.7010144723201108;0.19037132813008395;
6;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.20351016848777;4.524908314991352;-0.005702821072191;0.5666652917861938;0.2123081237077713;0.4667001357682199;-0.012219758607654445;1.3935907178460374;0.7664530931878922;0.7544505370394871;0.1351100707501754;0.1451872863357064;0.5936873059362289;-0.011887297965586185;-0.13899488747119904;0.1774054765701294;0.23929033430185542;-3.0918948972994698;-2.4375160934244566;0.7937916918114053;-0.5138453750127665;-0.6050356853664107;-0.11465637296813949;-0.2600020245444812;0.7198997735977173;0.19982236623764038;0.14617644250392914;0.7267875816408301;1.4330134176918818;3.8518912870533986;0.12424454021438058;-0.08101492150362538;-0.09419813303268942;0.7036967892969922;0.1809827396311025;
7;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.197274827804474;4.469842972799959;0.02376513183116913;0.5819803476333618;0.23263533413410187;0.4825658887610366;0.049267362624111126;1.5331129264767676;0.7655603498177634;0.7650168514915751;0.028842089851702647;0.17676850212948414;0.5877487656037024;-0.028519466519355774;-0.17074613273143768;0.20096677541732788;0.272244060283375;-3.0366431167510033;-2.316041443688927;0.7879960723357237;-0.5791154114633953;-0.5343810908163849;-0.14434254881203484;-0.27762235089471465;0.7133322358131409;0.19877615571022034;0.17697404325008392;0.7201386030390706;1.4331998560489556;3.837290922914955;0.1268321696635134;-0.08128947606052155;-0.0973571792081105;0.6970743406010366;0.17930471986859825;
8;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.1938711734508245;4.411630273891298;0.04862305894494057;0.5943734049797058;0.24500931799411774;0.49675875977419;0.09803759763429805;1.652629141880652;0.7650706901698958;0.7625104295301726;-0.0625380349447632;0.20112514485097507;0.5818657979907532;-0.0439346581697464;-0.1900770664215088;0.21680526435375214;0.2933853415769112;-2.991276536094463;-2.2221445718776085;0.7811546003291503;-0.6212265815068263;-0.4735821407577961;-0.16817997447111166;-0.284793494573068;0.7001940608024597;0.20614098012447357;0.20392081141471863;0.708193215475002;1.4203537377968347;3.796617438187586;0.12968085357075299;-0.07899883953687778;-0.10284117431586297;0.6843942928950841;0.18557274526130096;
9;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;3.2085615567940136;4.333218077647045;0.07173813879489899;0.6031968593597412;0.25534895062446594;0.5082848018849898;0.1416105063338682;1.7538071730952192;0.767172275634566;0.7543606549116838;-0.13961841863999935;0.22261026977723575;0.5752731756317413;-0.06439134478569031;-0.2042238712310791;0.23485548794269562;0.3109636781203455;-2.9330132440517036;-2.119440906626483;0.7686542937702496;-0.6558405937601892;-0.4008772117590668;-0.19555946353772816;-0.2843993135828925;0.6783880591392517;0.21686306595802307;0.23606951534748077;0.688380225578735;1.400204833595341;3.726489692743338;0.13371422915020276;-0.07382543636456276;-0.1114867706179295;0.6636229718663391;0.19456571183443716;
