i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
43;-0.15053066611289978;0.07069113850593567;0.059473349875467686;1.5591750869559728;2.2528355582974937;0.0776288848342483;-0.06303773662966504;-0.21;0.07;5.0;0.3;0.1
44;-0.15053066611289978;0.07069113850593567;0.059473349875467686;1.5591750869559728;2.2528355582974937;0.0776288848342483;-0.06303773662966504;-0.21;0.07;5.0;0.3;0.1
45;-0.15053066611289978;0.07069113850593567;0.059473349875467686;1.5591750869559728;2.2528355582974937;0.0776288848342483;-0.06303773662966504;-0.21;0.07;5.0;0.3;0.1
46;-0.15053066611289978;0.07069113850593567;0.059473349875467686;1.5591750869559728;2.2528355582974937;0.0776288848342483;-0.06303773662966504;-0.21;0.07;5.0;0.3;0.1
47;-0.149328351020813;0.06954874843358994;0.059473349875467686;1.5591750869559728;2.2528355582974937;0.0776288848342483;-0.06303773662966504;-0.21;0.07;5.0;0.3;0.1
48;-0.149328351020813;0.06954874843358994;0.06067332707071429;1.5782337914676452;2.2743541236743514;0.07625453557924755;-0.06469347574209681;-0.21;0.07;5.0;0.3;0.1
49;-0.149328351020813;0.06954874843358994;0.06067332707071429;1.5782337914676452;2.2743541236743514;0.07625453557924755;-0.06469347574209681;-0.21;0.07;5.0;0.3;0.1
50;-0.14837899804115295;0.0689571350812912;0.061629825974530414;1.5877185665826798;2.2858100765721763;0.07550842265467153;-0.06556277989990576;-0.21;0.07;5.0;0.3;0.1
51;-0.14837899804115295;0.0689571350812912;0.061629825974530414;1.5877185665826798;2.2858100765721763;0.07550842265467153;-0.06556277989990576;-0.21;0.07;5.0;0.3;0.1
52;-0.14837899804115295;0.0689571350812912;0.061629825974530414;1.5877185665826798;2.2858100765721763;0.07550842265467153;-0.06556277989990576;-0.21;0.07;5.0;0.3;0.1
53;-0.14802873134613037;0.06856238842010498;0.06198794129203463;1.5939902005267979;2.292822115419281;0.07504684134499537;-0.06609063174262367;-0.21;0.07;5.0;0.3;0.1
54;-0.14802873134613037;0.06856238842010498;0.06198794129203463;1.5939902005267979;2.292822115419281;0.07504684134499537;-0.06609063174262367;-0.21;0.07;5.0;0.3;0.1
55;-0.14802873134613037;0.06856238842010498;0.06198794129203463;1.5939902005267979;2.292822115419281;0.07504684134499537;-0.06609063174262367;-0.21;0.07;5.0;0.3;0.1
