i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
21;0.7747379541397095;-0.3275444805622101;0.01702495905414101;-2.0298973102504863;-0.541886383402505;-0.051575304335287876;0.08567372982847447;0.79;-0.32;1.0;0.1;0.1
22;0.7747379541397095;-0.3275444805622101;0.01702495905414101;-2.0298973102504863;-0.541886383402505;-0.051575304335287876;0.08567372982847447;0.79;-0.32;1.0;0.1;0.1
23;0.7741950154304504;-0.3271879553794861;0.01702495905414101;-2.0298973102504863;-0.541886383402505;-0.051575304335287876;0.08567372982847447;0.79;-0.32;1.0;0.1;0.1
24;0.7743019461631775;-0.3273479640483856;0.01736272558618559;-1.997626810487593;-0.5092804173559276;-0.04875491087478094;0.08730955655363375;0.79;-0.32;1.0;0.1;0.1
25;0.7740235328674316;-0.3274981379508972;0.017848781157606103;-1.996803634058484;-0.5079744628541603;-0.04864084702260091;0.08737315377691215;0.79;-0.32;1.0;0.1;0.1
26;0.7734886407852173;-0.3271239101886749;0.01764850063797838;-2.0096033026740225;-0.5209730661387333;-0.04977243479313865;0.08673352716661972;0.79;-0.32;1.0;0.1;0.1
27;0.7734886407852173;-0.3271239101886749;0.017982632718706613;-1.978121774914936;-0.48915964798295064;-0.046988425188499196;0.08827280384300035;0.79;-0.32;1.0;0.1;0.1
28;0.7736072540283203;-0.32709449529647827;0.017982632718706613;-1.978121774914936;-0.48915964798295064;-0.046988425188499196;0.08827280384300035;0.79;-0.32;1.0;0.1;0.1
29;0.7736072540283203;-0.32709449529647827;0.017862082297531102;-1.97924039940823;-0.4903980162149171;-0.04709770336690185;0.08821454719921949;0.79;-0.32;1.0;0.1;0.1
30;0.7736072540283203;-0.32709449529647827;0.017862082297531102;-1.97924039940823;-0.4903980162149171;-0.04709770336690185;0.08821454719921949;0.79;-0.32;1.0;0.1;0.1
31;0.7736072540283203;-0.32709449529647827;0.017862082297531102;-1.97924039940823;-0.4903980162149171;-0.04709770336690185;0.08821454719921949;0.79;-0.32;1.0;0.1;0.1
32;0.7735174894332886;-0.32729586958885193;0.017862082297531102;-1.97924039940823;-0.4903980162149171;-0.04709770336690185;0.08821454719921949;0.79;-0.32;1.0;0.1;0.1
33;0.7735174894332886;-0.32729586958885193;0.018025062209026887;-1.9875154365482852;-0.4985111634899464;-0.04781184307727614;0.08782953752328383;0.79;-0.32;1.0;0.1;0.1
34;0.7732376456260681;-0.3270808756351471;0.018025062209026887;-1.9875154365482852;-0.4985111634899464;-0.04781184307727614;0.08782953752328383;0.79;-0.32;1.0;0.1;0.1
35;0.7732376456260681;-0.3270808756351471;0.018196574510541658;-1.9704858341439393;-0.48131119125697497;-0.04629417982454437;0.08863886796644432;0.79;-0.32;1.0;0.1;0.1
36;0.7732376456260681;-0.3270808756351471;0.018196574510541658;-1.9704858341439393;-0.48131119125697497;-0.04629417982454437;0.08863886796644432;0.79;-0.32;1.0;0.1;0.1
37;0.7732376456260681;-0.3270808756351471;0.018196574510541658;-1.9704858341439393;-0.48131119125697497;-0.04629417982454437;0.08863886796644432;0.79;-0.32;1.0;0.1;0.1
38;0.7725214958190918;-0.32672786712646484;0.018196574510541658;-1.9704858341439393;-0.48131119125697497;-0.04629417982454437;0.08863886796644432;0.79;-0.32;1.0;0.1;0.1
39;0.7725214958190918;-0.32672786712646484;0.018728649296556144;-1.9382375521919575;-0.44853434858548336;-0.04336453258324088;0.09010836428343953;0.79;-0.32;1.0;0.1;0.1
40;0.7725214958190918;-0.32672786712646484;0.018728649296556144;-1.9382375521919575;-0.44853434858548336;-0.04336453258324088;0.09010836428343953;0.79;-0.32;1.0;0.1;0.1
41;0.7725244760513306;-0.326649010181427;0.01869768097046369;-1.9343588461418675;-0.44468640757992806;-0.04301748072769457;0.09027456093408834;0.79;-0.32;1.0;0.1;0.1
42;0.7725244760513306;-0.326649010181427;0.01869768097046369;-1.9343588461418675;-0.44468640757992806;-0.04301748072769457;0.09027456093408834;0.79;-0.32;1.0;0.1;0.1
43;0.7725244760513306;-0.326649010181427;0.01869768097046369;-1.9343588461418675;-0.44468640757992806;-0.04301748072769457;0.09027456093408834;0.79;-0.32;1.0;0.1;0.1
44;0.7719489336013794;-0.3268623352050781;0.01931146401996145;-1.9340851639594192;-0.44380294269922954;-0.04293770954607362;0.09031253013251826;0.79;-0.32;1.0;0.1;0.1
45;0.7719489336013794;-0.3268623352050781;0.01931146401996145;-1.9340851639594192;-0.44380294269922954;-0.04293770954607362;0.09031253013251826;0.79;-0.32;1.0;0.1;0.1
46;0.7722539305686951;-0.3266712725162506;0.01931146401996145;-1.9340851639594192;-0.44380294269922954;-0.04293770954607362;0.09031253013251826;0.79;-0.32;1.0;0.1;0.1
47;0.7722539305686951;-0.3266712725162506;0.018958609053587695;-1.9303817264983456;-0.4404500678223582;-0.04263466215237221;0.09045598699452172;0.79;-0.32;1.0;0.1;0.1
48;0.7722539305686951;-0.3266712725162506;0.018958609053587695;-1.9303817264983456;-0.4404500678223582;-0.04263466215237221;0.09045598699452172;0.79;-0.32;1.0;0.1;0.1
49;0.7722539305686951;-0.3266712725162506;0.018958609053587695;-1.9303817264983456;-0.4404500678223582;-0.04263466215237221;0.09045598699452172;0.79;-0.32;1.0;0.1;0.1
50;0.7715354561805725;-0.3264552354812622;0.019560404995247558;-1.9071162485194189;-0.416586691634042;-0.04046414296528401;0.09144754307298286;0.79;-0.32;1.0;0.1;0.1
51;0.7715354561805725;-0.3264552354812622;0.019560404995247558;-1.9071162485194189;-0.416586691634042;-0.04046414296528401;0.09144754307298286;0.79;-0.32;1.0;0.1;0.1
52;0.7716125845909119;-0.3262529671192169;0.01942155099935072;-1.8985955684440656;-0.4082039713400925;-0.03969615106869422;0.09178352570222724;0.79;-0.32;1.0;0.1;0.1
53;0.7716125845909119;-0.3262529671192169;0.01942155099935072;-1.8985955684440656;-0.4082039713400925;-0.03969615106869422;0.09178352570222724;0.79;-0.32;1.0;0.1;0.1
54;0.7716125845909119;-0.3262529671192169;0.01942155099935072;-1.8985955684440656;-0.4082039713400925;-0.03969615106869422;0.09178352570222724;0.79;-0.32;1.0;0.1;0.1
55;0.7716125845909119;-0.3262529671192169;0.01942155099935072;-1.8985955684440656;-0.4082039713400925;-0.03969615106869422;0.09178352570222724;0.79;-0.32;1.0;0.1;0.1
