i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
10;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.3039182214455605;0.28092750906944275;0.2668037414550781;0.24867698550224304;0.34522020905061057;-0.6874748955306652;1.105683616895576;0.05051665295483193;0.04515032034955133;0.02265790806963035;0.2854425411043979;0.26906953226204117;0.6871845126152039;-0.323055237531662;0.2307233363389969;0.37336674766190675;2.6164433259148945;4.538831710531465;0.049483347045168075;-0.04873994412677007;-0.008545143726812096;0.6823105182025269;-0.3239097519043432;
11;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.3210571861949743;0.28470495343208313;0.2666386365890503;0.2578534185886383;0.3427070463219995;-0.67926187700763;1.101910138134157;0.050571192032481935;0.04511315276012204;0.02285276595136917;0.28921626870809536;0.26892391318418724;0.6797565221786499;-0.3292006552219391;0.25166699290275574;0.37508062955092397;2.641795309187345;4.571715704004942;0.04942880796751807;-0.04894054134001281;-0.006930401895725513;0.6748624680446487;-0.32989369541151164;
12;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.340006258999685;0.2903999090194702;0.264196515083313;0.26822447776794434;0.3372417481884673;-0.6706723924567785;1.0842241881829529;0.05063148726236938;0.04475524302446397;0.02367521328775395;0.2948754333219166;0.26656403641208837;0.668090283870697;-0.3290656507015228;0.2703670561313629;0.36951122581505985;2.6693338665429067;4.5746261880246;0.049368512737630627;-0.04890078087493046;-0.006779651889856348;0.6632002057832039;-0.32974361589050843;
13;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.3517814513541393;0.28841790556907654;0.2644869089126587;0.27285826206207275;0.3387038642678132;-0.6747238064197117;1.0872289635784045;0.05066895322151939;0.04485934976092817;0.023558046599648996;0.2929038405451694;0.26684271357262357;0.6607283353805542;-0.3207447826862335;0.2724419832229614;0.3587628930291469;2.677057644934428;4.53362634732476;0.04933104677848062;-0.048544930147911745;-0.008771655100094403;0.6558738423657631;-0.32162194819624296;
14;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.3606728080879287;0.2915298342704773;0.2623837888240814;0.28063544631004333;0.3351194751681478;-0.6713928663917637;1.073228692833015;0.05069724225497851;0.04455000406810721;0.02419726244416109;0.29598483467728803;0.26480351506849753;0.6520194411277771;-0.31285473704338074;0.27400556206703186;0.3478332890499191;2.6892799416961655;4.494832943348836;0.0493027577450215;-0.048140587194620256;-0.010641700325673605;0.647205382408315;-0.3139189070759481;
15;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.4845586795427645;0.2806647717952728;0.25926950573921204;0.2844610810279846;0.33960067570291297;-0.7021520419318249;1.0641192812916216;0.05109126703084378;0.04467225613983144;0.02479328736158795;0.285131997409256;0.26174883447537084;0.6181871294975281;-0.3147679567337036;0.30653753876686096;0.3362247227155912;2.78240663761094;4.532384040043285;0.048908732969156224;-0.04811850519520478;-0.00875634732221601;0.6133752789780076;-0.3156435914659252;
16;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.525579113159795;0.2821405827999115;0.25624600052833557;0.2888931632041931;0.3363402123587514;-0.7046080509426049;1.0459284011246093;0.05122166666706511;0.04432672484995561;0.0256671112560073;0.28657325528490707;0.2588127116539363;0.6031347513198853;-0.3105725646018982;0.32466262578964233;0.3272492854281195;2.8209710622171897;4.527180031691563;0.048778333332934895;-0.047944116217472736;-0.008982623384311236;0.5983403396981379;-0.3114708269403293;
17;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.5723769582335123;0.2810825705528259;0.2568282186985016;0.2935009300708771;0.33746936873678446;-0.705879099316029;1.0501172185902228;0.051370381753050684;0.04456285808986397;0.025555191259640543;0.2855388563618123;0.25938373782446567;0.5882078409194946;-0.31251564621925354;0.3368535339832306;0.324725503050679;2.866497858917483;4.560297583171984;0.04862961824694932;-0.04806825647429453;-0.007367665190918241;0.5834010152720652;-0.31325241273834536;
18;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.576793193839002;0.2828819155693054;0.2602654695510864;0.2971741557121277;0.3389371287237527;-0.6952600227395269;1.0678167227819124;0.05138441276167676;0.04502046198377115;0.0247692526659604;0.28738396176768255;0.26274239481768247;0.5835704803466797;-0.3140740990638733;0.33793941140174866;0.3250024075113267;2.8815331710994756;4.5766963447870275;0.048615587238323245;-0.04816870651244994;-0.006576551941897867;0.5787536096954347;-0.3147317542580631;
19;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.5954372620840154;0.28180190920829773;0.2569532096385956;0.30021461844444275;0.33709844076874634;-0.704014572754528;1.05018939397254;0.05144364162065179;0.044628256642799784;0.025588414804720794;0.2862647348725777;0.25951205111906767;0.5809704065322876;-0.31688112020492554;0.33217647671699524;0.3270624574547381;2.891422689329488;4.5967144290771085;0.04855635837934821;-0.04823186380062293;-0.0056042174638265725;0.5761472201522253;-0.3174415419513082;
20;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.5844559164128458;0.28633368015289307;0.27266496419906616;0.30703774094581604;0.34640940942573173;-0.66467439443437;1.134133647918886;0.05140875704064128;0.046584976663964335;0.021741670811636877;0.2909921778192895;0.27483913128022985;0.5718063712120056;-0.31840088963508606;0.3201376795768738;0.32639742870778043;2.919781521978476;4.6218064729756705;0.048591242959358724;-0.04839202902478877;-0.004395499880494749;0.5669671683095268;-0.3188404396231355;
21;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.5301189873569463;0.2927766442298889;0.2818203568458557;0.3068788945674896;0.34980599295802733;-0.63402848936203;1.1808333180703028;0.05123609600749786;0.04738944992337694;0.01947761715532183;0.2975155892222266;0.2837681185613879;0.5801370739936829;-0.3198366165161133;0.3268109858036041;0.32972323529400277;2.8960904979949165;4.614423125782223;0.04876390399250215;-0.04853008996181969;-0.004769559821163219;0.5752840649975008;-0.3203135724982296;
22;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.5040658243571308;0.293128103017807;0.2924441695213318;0.308186411857605;0.35821721629206005;-0.6156680764462675;1.238387208765518;0.05115328302693986;0.04835309814471725;0.016692401392296878;0.29796341283227873;0.2941134096605615;0.5828062891960144;-0.32002687454223633;0.33147546648979187;0.33056630493697664;2.8883977479108633;4.610852082734137;0.048846716973060145;-0.04859513471557617;-0.004951226213903551;0.5779467757244567;-0.32052199716362667;
23;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.493878708029654;0.29807034134864807;0.30352145433425903;0.3092159330844879;0.3645557025808747;-0.5870486247408409;1.2959690318226356;0.05112089779381935;0.04920243687178428;0.013873225909074168;0.3029905850358265;0.30490877692516644;0.5762462615966797;-0.3187916874885559;0.32860010862350464;0.3277829044036165;2.906830083288814;4.6156575816741565;0.04887910220618066;-0.04865060047555677;-0.004720773861350489;0.571381201549124;-0.31926376487469094;
24;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.508174764103822;0.3009137809276581;0.3086102306842804;0.3134530484676361;0.36725413150504554;-0.5729268900646165;1.3222612492827333;0.05116634483160972;0.049594197976332376;0.012586118166914871;0.30587320072529134;0.3098688425009719;0.5663747191429138;-0.31709063053131104;0.3228625953197479;0.3239630709078507;2.9352478740392054;4.625291098567749;0.048833655168390284;-0.04864854517822945;-0.004247932337857875;0.5615098646250909;-0.31751542376509684;
25;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.5020101261015366;0.30317720770835876;0.316739022731781;0.31888067722320557;0.3729112764271982;-0.5560090119821602;1.3643706492736747;0.05114674807362589;0.05006089077133179;0.010483179560025762;0.30818329678549194;0.3177873406877836;0.5627421736717224;-0.31668055057525635;0.3234061598777771;0.32283610620514563;2.9460011141193765;4.630485619676062;0.04885325192637412;-0.04868948577723435;-0.003996773515008077;0.557873225093999;-0.31708022792675716;
26;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.4860721973804307;0.3057970404624939;0.32170647382736206;0.3212216794490814;0.3757789839727089;-0.5431100442900064;1.3898672967819659;0.051096079022596455;0.050262034883207;0.009194408131179749;0.3108232439508146;0.32262591464048;0.5636999607086182;-0.3164670467376709;0.32705816626548767;0.3228143067850969;2.9429621530904244;4.627339062954109;0.04890392097740355;-0.04872715459518835;-0.004154261910465629;0.5588272452490993;-0.31688247292871746;
27;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.4567086142071877;0.30773022770881653;0.3279796838760376;0.3224397301673889;0.38018198059919817;-0.5302289786132339;1.4218578782321734;0.05100271345172855;0.05043807042117102;0.007568211917495755;0.3127740347509336;0.3287365050677872;0.5690510272979736;-0.3160322308540344;0.3315114676952362;0.3234878905144414;2.9264796355939535;4.614179929989042;0.04899728654827146;-0.0487611865604765;-0.004804245446251651;0.564174908641926;-0.3165126553986596;
28;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.3648985842897474;0.30948710441589355;0.3289622962474823;0.32311752438545227;0.3801464924687021;-0.5249347325563619;1.4269992448789846;0.05071068674029965;0.05018730186790399;0.007266944398623371;0.31450583460268394;0.32968899068734464;0.5991737842559814;-0.3187619149684906;0.35243213176727295;0.3338331887605413;2.839963851733385;4.578339595109095;0.04928931325970035;-0.04884713030308242;-0.006587432183071024;0.5942890712256732;-0.3194206581867977;
29;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.309844530817375;0.31172341108322144;0.3125718832015991;0.3209155797958374;0.3648962264840947;-0.5421431032184225;1.3424157531258172;0.050535511830583815;0.04922332244230709;0.011441262330693425;0.31664574332745216;0.3137160094346685;0.6231043934822083;-0.31376442313194275;0.34984609484672546;0.33705015193282906;2.767701427598953;4.521671971170723;0.04946448816941619;-0.04856762622193794;-0.009376634419046105;0.6182476308600144;-0.31470208657384735;
30;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.324840539274101;0.31075096130371094;0.3158612549304962;0.319402813911438;0.3682166902976255;-0.5397960546020282;1.35970964084858;0.05058323085963939;0.04946047569750887;0.010598329489863471;0.3156970088734618;0.3169210878794826;0.618309497833252;-0.31763747334480286;0.35545387864112854;0.3389553093704635;2.7850444846720723;4.548208812296211;0.04941676914036062;-0.04875224618732838;-0.008076853592942173;0.6134342732145192;-0.31844515870409706;
31;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.356705197443038;0.3118187189102173;0.31620579957962036;0.3200904130935669;0.367965082909206;-0.5368256068620774;1.3615527237173057;0.05068461890770352;0.04957910188223155;0.010528212116520106;0.31677662909844045;0.31725862079127237;0.6071419715881348;-0.3214660882949829;0.35530734062194824;0.3388507754151825;2.8198795905809613;4.582540303296614;0.04931538109229649;-0.048900219506168595;-0.006385557495392427;0.6022519496375179;-0.32210464404452216;
