i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
0;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.6336395144462585;0.11104872822761536;0.10757319629192352;0.17375655343728053;0.8774619476360618;1.885200627353938;0.3;0.2852942303109258;-0.09277500822579549;0.9189337447571844;0.01827372000181987;
1;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.6301428079605103;0.11104605346918106;0.11771467328071594;0.17108002938661915;0.8644109228572311;1.8626376381399599;0.3;0.28731471729188124;-0.08631484940313781;0.9174575252523915;0.024731204066043247;
2;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.6384837627410889;0.10879864543676376;0.13073500990867615;0.176110470420713;0.9048718514795471;1.921071532663026;0.3;0.2817834929359674;-0.10294689460496433;0.9202672556770563;0.005851750831799438;
3;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.6624244451522827;0.10341962426900864;0.14673638343811035;0.19255471707275784;1.0038102984414605;2.081623254197558;0.3;0.2617021566461186;-0.1466696328718743;0.9241266017984013;-0.04325000860286565;
4;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.7092794179916382;0.09180960059165955;0.1690884530544281;0.22853200553909045;1.1573842454906589;2.3849818257141195;0.3;0.20593826975133472;-0.21815001501679182;0.915217687742973;-0.12634041442513227;
5;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.760211169719696;0.07549288123846054;0.1928660273551941;0.2709410045832428;1.2884267404775314;2.7149377547731666;0.3;0.12414836801010709;-0.27310654096968645;0.8843595377298031;-0.1976136597312259;
6;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8102236986160278;0.05176300182938576;0.21401339769363403;0.3145125618181205;1.4054624466232888;3.0486946268803883;0.3;0.027829339606375982;-0.29870642419786186;0.8380530382224038;-0.2469434223684761;
7;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8478420376777649;0.02183808758854866;0.22998268902301788;0.34852687879895966;1.5080969947759588;3.3169277260845247;0.3;-0.05233142477747079;-0.2954004434335871;0.7955106129002941;-0.27356235584503846;
8;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8790227770805359;-0.030889200046658516;0.24413402378559113;0.38027938180417314;1.6521135641838316;3.604619919633837;0.3;-0.13399759736331068;-0.2684113334061363;0.7450251797172252;-0.29930053345279484;
9;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8861082792282104;-0.08229924738407135;0.24897821247577667;0.3947819263955156;1.7808042171826814;3.7941588620825106;0.3;-0.18216819833834538;-0.2383584433456496;0.703940080889865;-0.32065769072972095;
10;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8762298226356506;-0.13581521809101105;0.2528380751609802;0.399993316076109;1.9172280810557623;3.9516452807985036;0.3;-0.2172970379235183;-0.20683809443539422;0.6589327847121323;-0.3426533125264053;
11;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8522942066192627;-0.1865457147359848;0.256206750869751;0.39863581337337867;2.0577776266918972;4.086749941813568;0.3;-0.24317671626563403;-0.1756846170450427;0.6091174903536287;-0.3622303317810275;
12;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8190248608589172;-0.23124265670776367;0.2598870098590851;0.39401780178986345;2.198001026322263;4.208231142276898;0.3;-0.2626744824643673;-0.14492106907581379;0.5563503783945499;-0.3761637257835775;
