i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
0;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;5.728733119476132;-0.09206099808216095;-0.019138246774673462;0.07039350271224976;0.592370237216264;-1.6031098641033572;0.9385322793793809;0.058058433487128955;0.046835249839615636;0.03431094681643396;-0.04522574824254531;0.015172700041760495;0.33320552110671997;-0.11089856922626495;0.12308806926012039;0.2002970065820094;-2.1575620518068113;-1.049224602121885;0.04194156651287105;-0.03636489626785344;0.02089711274271747;0.29684062483886653;-0.09000145648354749;
1;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;0.06942572787516048;-0.0669904425740242;-0.003963359631597996;0.22560401260852814;0.5670042946837857;-1.5777863830334236;0.9209124000696047;0.0405123157090125;0.032254043787212354;0.024513759064641413;-0.034736398786811847;0.020550399433043418;0.23415187001228333;0.016620008274912834;0.26052772998809814;0.2663671392890348;-1.5083606551582636;-0.10416981116285687;0.059487684290987504;-0.0061856196067478055;0.05916521522300767;0.22796625040553553;0.0757852234979205;
2;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;0.3529405341642515;-0.055704161524772644;-0.016021065413951874;0.29545435309410095;0.5559350588629474;-1.5996185490036365;0.8786480233256018;0.04134336832634221;0.0318292985075914;0.02638503100400369;-0.023874863017181246;0.010363965590051816;0.24885194003582;0.08437727391719818;0.30202779173851013;0.26494314933107677;-1.2466780148393848;0.1505968520591225;0.0586566316736578;0.008800152145505715;0.05799273886888864;0.25765209218132573;0.14237001278608682;
3;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;0.248570146284508;-0.032223787158727646;0.19271114468574524;0.31943535804748535;0.5660386425887095;-1.2233947016360096;1.2735646938623169;0.04103595812044291;0.039236569754621885;0.01201837978903293;0.007012782595894239;0.20472952447477816;0.252544105052948;0.1678343415260315;0.31421929597854614;0.2990029868404712;-0.9748245553515014;0.5909867469395613;0.058964041879557096;0.03285362495565608;0.04896322663027075;0.2853977300086041;0.21679756815630224;
4;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;0.4508394937955541;0.0019871944095939398;0.21811386942863464;0.32932108640670776;0.5436822735469302;-1.1579928077086643;1.2963393618580812;0.04163323166772731;0.04007500452337786;0.011283616067107932;0.0420621989329718;0.22939748549574257;0.3130664825439453;0.2187403440475464;0.3182865083217621;0.28773508312774804;-0.70715331391311;0.8023951300734333;0.058366768332272695;0.041967033392801244;0.04056411904332074;0.35503351593674654;0.25930446309086713;
5;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;0.6197969239796906;0.028298694640398026;0.24145203828811646;0.33325305581092834;0.5299067920601117;-1.0976940244152817;1.327954330243009;0.04213682361793982;0.040900466134079265;0.010132313389567363;0.0691991607744773;0.25158435167768384;0.3616273105144501;0.26715922355651855;0.3163854479789734;0.3008671665815103;-0.4778971004355909;1.0972350320967432;0.057863176382060184;0.05149532087627072;0.026388995980736445;0.4131226313907208;0.293548219537255;
6;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;0.8073847779229794;0.05618780478835106;0.25772082805633545;0.3260844051837921;0.5132146625269255;-1.0446904366942045;1.3434732972828713;0.042700680971717184;0.04160212886408974;0.009623462444673506;0.09778993365244079;0.26734429050100894;0.4277079105377197;0.29889699816703796;0.31198370456695557;0.3075151406225206;-0.23730565877122517;1.3710487013054782;0.05729931902828282;0.05616001865910807;0.011369444371365183;0.4838679291968278;0.31026644253840313;
7;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;0.8855499179055524;0.086243636906147;0.29521751403808594;0.3189583420753479;0.5082791640383066;-0.9510635424506365;1.425406362790349;0.042937037082415;0.042484029176636406;0.0062206445273289375;0.1287276660827834;0.3014381585654149;0.48036569356918335;0.2992691695690155;0.3159664273262024;0.2999125569954472;-0.06551362454508435;1.5048454872549073;0.057062962917585;0.05693890983532704;0.003760622780628113;0.5373046034045104;0.3030297923496436;
8;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;1.0581941659171956;0.12101472169160843;0.3222999572753906;0.3188236653804779;0.497500857923087;-0.8660534331813894;1.4838540035389542;0.04346186293897272;0.0432977029784064;0.0037739166551142523;0.16431242467001483;0.32607387393050485;0.5602988004684448;0.3099547326564789;0.30939167737960815;0.31576554852308164;0.1921407327358062;1.8416021345708962;0.05653813706102728;0.05447764136167149;-0.015124401938609203;0.6147764418301163;0.2948303307178697;
9;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;1.2377825002606935;0.14304600656032562;0.3398357927799225;0.30780789256095886;0.4928534462564805;-0.8099604608833787;1.52804463670233;0.044011646910640134;0.04397143283846465;0.001880999181087547;0.18701743939879029;0.34171679196101;0.6282680630683899;0.2812972664833069;0.3053669333457947;0.30916152434333904;0.4278220393773147;2.0443939882060045;0.05598835308935987;0.04982589368697096;-0.025535778820186785;0.6780939567553609;0.2557614876631201;
