i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;5.097209004496027;5.113760237937447;0.3503829836845398;-0.004419255536049604;0.09484391659498215;0.36561129110352064;1.8604306878590042;2.8395800798795072;0.8976731113858986;0.2670059476911186;-0.8570442455339208;0.4037841732227635;-0.17582810464283377;0.3458424210548401;0.5325570702552795;0.07436379045248032;0.5538163948718963;0.6744543851754451;2.5081067000793804;0.5052679402290485;0.29909735841742197;-0.40723023170072425;0.4056618927383245;0.4511110239151347;-0.1983674317598343;0.46748998761177063;0.0668780505657196;0.41761049912315645;-0.49497068406669503;0.6850623109628489;0.10180353208067638;0.06441325960816643;0.078834580805331;-0.185484779838201;0.4832569037728368;
1;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;5.086994803753347;5.1046258406644105;0.3597131371498108;-0.010310874320566654;0.10530322045087814;0.37624729903552323;1.8683551181585099;2.8850493754815556;0.8973475347466505;0.2276916006062765;-0.8679799151646558;0.4052514572710661;-0.18390685735349782;0.34299418330192566;0.5310144424438477;0.07861095666885376;0.5508343302428924;0.6721646147322704;2.4918619944047453;0.5056115519438703;0.3058808145754388;-0.4025915656515361;0.4041703462170134;0.45049612931354044;-0.18986955285072327;0.44233238697052;0.07276041060686111;0.39146125002184756;-0.5063948517829054;0.5671849693185982;0.10209172439618702;0.05484979338262704;0.08610586714080597;-0.17889959417419785;0.4595535603986812;
2;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;5.094232480978614;5.083899088813515;0.3670840263366699;-0.01145076658576727;0.12377938628196716;0.383629972452748;1.865562709573678;2.909391935306721;0.8975784409974867;0.2065505131428955;-0.8734895209811536;0.408394128965249;-0.18614867078199798;0.3437177836894989;0.5280049443244934;0.08404263108968735;0.5489354672369366;0.676609883372706;2.4873690676091065;0.4967108961817669;0.30227010094986273;-0.39415035260348785;0.40417180387947144;0.44917487380379584;-0.18430572748184204;0.4199080169200897;0.07927954196929932;0.3692014903441689;-0.5226763349933646;0.46894317735499724;0.10275153604822734;0.046437919974920715;0.09165913892609412;-0.1750181434868579;0.4382398447053085;
3;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;5.089290419547029;5.063257612694272;0.3693850338459015;-0.0173711646348238;0.13734346628189087;0.3875839180320472;1.8784546523431138;2.9371803150865157;0.8974208813478497;0.18216905165344627;-0.878736977086338;0.40581884417659075;-0.1931185600520914;0.34721803665161133;0.5253919363021851;0.09588093310594559;0.5491071520633491;0.6845597647105569;2.4961287240061854;0.49171537139257365;0.29580077333860577;-0.39279245022787723;0.4063781913193325;0.4468334462566096;-0.1767619103193283;0.3980051279067993;0.09075149148702621;0.346484962442075;-0.5353679297747573;0.3807737269231778;0.10341686189237498;0.03843372787948682;0.09600987389301226;-0.16907516474343096;0.4172071026854018;
4;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;5.097264331423591;5.064048536657108;0.35466906428337097;-0.015082541853189468;0.1495341658592224;0.3728728155806388;1.8845566172244437;2.8891418585630007;0.8976748694978065;0.22421927163009062;-0.8692214272310455;0.3995129186093891;-0.18892682729939855;0.35343581438064575;0.5207775831222534;0.11328734457492828;0.5495185614200081;0.698635641468448;2.512143758000046;0.4894309699037638;0.2881276992237256;-0.3956325356198365;0.41106135422539086;0.4416510759982861;-0.16569311916828156;0.38905301690101624;0.11066877096891403;0.3331754137377089;-0.5205011290540303;0.3550911102155405;0.1033912153684618;0.03594662278901844;0.09694113536281526;-0.15850379461047787;0.4084412439735793;
5;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;5.057609431185518;5.042889159681887;0.3676086962223053;-0.05221822112798691;0.16232365369796753;0.3978775444551148;1.9633786422600492;3.0620736254707377;0.896399632664256;0.07120572995374574;-0.8935670346775151;0.38184984221305446;-0.23093162806348994;0.36712977290153503;0.5038527250289917;0.1416977196931839;0.5457850251372559;0.737802766265981;2.5336463713767365;0.4953147304449195;0.2829153177511429;-0.40656562222781834;0.4237128364517636;0.42253960058342804;-0.1460961103439331;0.36584949493408203;0.12152472138404846;0.3033480301804071;-0.5024933812317185;0.29134530667455016;0.10408158278511104;0.02989650810331543;0.09969540951459258;-0.14011680872327;0.3857885768370005;
6;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;5.019990770510801;5.050466195922938;0.38217753171920776;-0.08810985088348389;0.16997972130775452;0.42596359204795026;2.028188847382288;3.2444451451280405;0.8951612290689819;-0.09190732019382185;-0.8904306096058696;0.36379606768044337;-0.2661959728046578;0.37425363063812256;0.4898463785648346;0.17357859015464783;0.5404127856795513;0.7649943107135031;2.535169953919886;0.5096976277085968;0.29049282205040056;-0.418814507901727;0.43235219504820266;0.4060834769844892;-0.13000571727752686;0.35738256573677063;0.13709446787834167;0.2883526862543287;-0.4677248005431452;0.2893865098280657;0.10383334735206345;0.02963033028959175;0.09951586581678303;-0.12407965121960851;0.37728573890012723;
7;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;4.977286007687015;5.021038670648384;0.39271485805511475;-0.12514598667621613;0.18499159812927246;0.45267612600363166;2.0913569763632673;3.429807276637203;0.8937203762094749;-0.2540319231708231;-0.8568569850693513;0.3419084734209501;-0.2965173836900864;0.3801540732383728;0.4801088273525238;0.19264453649520874;0.5375870534444044;0.785457676870696;2.542022405049414;0.5139180286232677;0.28999763884679697;-0.4242795182510093;0.4381536010077322;0.39525292370232196;-0.1440509706735611;0.37894710898399353;0.1481705605983734;0.3139461287586186;-0.4766889596605061;0.3448183272627683;0.10480388797330314;0.03542640800512361;0.09863480394959576;-0.13696568907253637;0.3986740697739127;
8;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;4.925797775303799;5.029226797584504;0.3999493718147278;-0.16360856592655182;0.20302145183086395;0.47900832565295626;2.153545531608819;3.6197663752671088;0.8919316921962444;-0.4104299556112078;-0.7918897619498801;0.3178633806924862;-0.32198651831652786;0.3833863139152527;0.47522348165512085;0.20482981204986572;0.5364491838775742;0.7961579997330317;2.547221845096124;0.5328058313503761;0.29836464788615263;-0.4414301652727615;0.4430592434924832;0.38693744860056856;-0.14435914158821106;0.3929886817932129;0.15907500684261322;0.32662199775736134;-0.45780050986205073;0.3987775879438622;0.10453208642510031;0.04058898707394324;0.09633011585530202;-0.1362413441734224;0.4122547049642733;
9;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;4.924543268172168;4.934497200697548;0.4031444787979126;-0.21050916612148285;0.22319142520427704;0.5088628626955393;2.227111937413097;3.842193604281295;0.8918873885002122;-0.5749794672986386;-0.6818076898588797;0.2881485853381849;-0.3468707040932588;0.40994176268577576;0.4469226896762848;0.21701335906982422;0.5370359405162272;0.8684698984056789;2.6223717416377608;0.5031683304917883;0.24967407766364308;-0.4368537784576238;0.45987657821850436;0.35955193398476004;-0.15075641870498657;0.38942182064056396;0.16630153357982635;0.32633186795599967;-0.4802182080763596;0.37553225096857556;0.10776203996966072;0.0395236399398809;0.10025237725024481;-0.1428516907170104;0.4094722960906129;
10;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;4.922429955646224;4.884883888804304;0.3999295234680176;-0.24437202513217926;0.23996564745903015;0.5277648296684745;2.281688856249202;3.9904276908133953;0.8918126765540227;-0.6693152591165322;-0.5893614629208627;0.26606647164471114;-0.3622443177163518;0.4342246651649475;0.4300055205821991;0.21047571301460266;0.5453940808739485;0.9209335047158395;2.714918939838528;0.48805432692848216;0.20197885345317895;-0.44429896330213625;0.4746204358555833;0.34114572792177184;-0.15086792409420013;0.3916618824005127;0.16902796924114227;0.32837141191934455;-0.4773679136594425;0.38422590723715677;0.10953142505213048;0.041056934215783485;0.10154536536322721;-0.14265653725104344;0.41197095547315815;
11;0.3;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.5;0.5;1;4.916418376148997;4.824497480792498;0.39216750860214233;-0.2898157835006714;0.2517932653427124;0.5529481891366077;2.3531871139027176;4.182787099725182;0.8915996054329749;-0.7694578283211695;-0.4504270272125178;0.23827594293790844;-0.37990118894317493;0.4586639106273651;0.4033791422843933;0.22003242373466492;0.5499195276449107;0.986420182872128;2.801816443520708;0.470822663406934;0.1569139433072426;-0.4439053894394283;0.4900466992888136;0.3145980643965076;-0.14775431156158447;0.38924816250801086;0.17380110919475555;0.324801225520007;-0.4722676435149597;0.37913605964943076;0.11176170612200309;0.04136502140804758;0.10382491974094056;-0.13948130727997496;0.41001314645619896;
