i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
0;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.31749656796455383;-0.035350266844034195;0.05610429495573044;0.1858955192323396;-1.7621234987632128;-0.7097899086126704;0.3;-0.19550232940159112;0.22754964117429793;0.21974540326375827;0.07842455374311477;
1;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.3188934028148651;-0.03664134442806244;0.060213495045900345;0.18477604732614725;-1.7704209024535849;-0.7222999801591203;0.3;-0.19833361939977454;0.22508615109727514;0.21972659311497783;0.07590173112057513;
2;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.3266777992248535;-0.041789211332798004;0.061390914022922516;0.17828887644874944;-1.8073878381415147;-0.783278169043817;0.3;-0.21168183927738293;0.212581276033766;0.22083687958616205;0.064501426684085;
3;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.33746954798698425;-0.05012807250022888;0.05727744847536087;0.17008518890292423;-1.8699622977062629;-0.8752416994670987;0.3;-0.23030952252423834;0.19224339737597582;0.2223147867248651;0.045993626187759026;
4;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.3366665244102478;-0.052499618381261826;0.06254277378320694;0.17156349896876755;-1.881792236011938;-0.881855881579352;0.3;-0.23157600838972325;0.19071589429904057;0.22087852021538618;0.04285832876825846;
5;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.3211959898471832;-0.045763686299324036;0.08223062753677368;0.1845675730740141;-1.821360803425808;-0.7740221398147006;0.3;-0.2097051411105834;0.21453147506086442;0.21634341929189155;0.061502051231108176;
6;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.2933569550514221;-0.033703722059726715;0.1050756424665451;0.2093735630548883;-1.7324738776650803;-0.5871331490578077;0.3;-0.1661929670367468;0.24975967990755188;0.21026047153304872;0.09117611789404922;
7;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.2568514943122864;-0.013368917629122734;0.12404067814350128;0.24351575673196665;-1.625723541816231;-0.33017969697320737;0.3;-0.09726390723233232;0.2837952296108943;0.20821954069612023;0.12852869717632442;
8;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.21611616015434265;0.0008619620930403471;0.1370566189289093;0.2838851484388795;-1.567760016434131;-0.07736425517111643;0.3;-0.023186131343659964;0.2991026635008698;0.20452309448251266;0.15041329384347524;
9;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.17932341992855072;0.015576797537505627;0.1477537453174591;0.32105467700665113;-1.5222596870296399;0.15342369354500884;0.3;0.04584674975556493;0.2964760960631575;0.20224679480633317;0.16381484556908438;
