i; TZ; vz; CX; CY; k; R; D_12; D_23; v_f; v_cruis; k_f; p12; p23;px1; py1; pz1; d1; phi1; angle1; v1; vx1; vy1; vz1;px2; py2; pz2; d2; phi2; angle2; v2; vx2; vy2; vz2;px3; py3; pz3; d3; phi3; angle3; v3; vx3; vy3; vz3;
10;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5518361563669794;3.248566949173181;0.7214804291725159;0.592518150806427;0.06309588998556137;0.6325593565362144;0.3577139720532591;2.5138289645951537;0.04827467285923399;0.028353467038818612;-0.039070768440673004;0.05;0.383816123008728;0.04595785588026047;0.00752999959513545;0.12494325828084446;-1.1941221843137204;-0.7042276788605795;0.05534991071213049;-0.035836046609912915;0.04218282090155857;0.05;0.969964861869812;-0.12991474568843842;0.06309588998556137;0.48759082491327;1.8404961736926853;3.3493260607950286;0.04634234099248845;-0.009557763434028777;-0.04534602217177618;0.05;
11;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.5681150558325634;3.2205631379603994;0.7221754193305969;0.5913361310958862;0.05974973738193512;0.6316963961383488;0.3593996911112096;2.5125108757681516;0.04832634262329905;0.028435343758687857;-0.0390751406481121;0.05;0.3822789192199707;0.04459045082330704;0.007658479269593954;0.1258831250193764;-1.2087153647213538;-0.7177783879204271;0.05521279960374251;-0.036314166427847704;0.04159007762355833;0.05;0.9670594334602356;-0.1358792781829834;0.05974973738193512;0.4864233676785325;1.853906804497833;3.3569239536675104;0.046430335914550404;-0.009920820434791401;-0.04535805788433423;0.05;
12;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4475888505296233;3.3927119084327897;0.7232710123062134;0.5962257981300354;0.06356298923492432;0.6366593651962084;0.35830937039501864;2.5285332949452517;0.047944015691411865;0.02758566205616921;-0.03921300663735406;0.05;0.37683388590812683;0.06435926258563995;0.02592034824192524;0.13896764494320135;-1.0892794801346046;-0.5833957130967147;0.05611515962336893;-0.030911661862872503;0.04683353820107561;0.05;0.9740067720413208;-0.11118435114622116;0.06356298923492432;0.48687203645397303;1.801193918612192;3.306444456310851;0.04589031766205081;-0.007530883109254203;-0.04526816822800192;0.05;
13;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.44963462867582;3.370838291917294;0.7208946347236633;0.5862253904342651;0.06939291954040527;0.626462008456624;0.36035514854121536;2.4949901886159855;0.047950500561226836;0.028889131048876516;-0.03827098916036864;0.05;0.37683388590812683;0.06435926258563995;0.02592034824192524;0.13896764494320135;-1.0892794801346046;-0.5833957130967147;0.05604176471174231;-0.030871231456795344;0.046772283035439434;0.05;0.9755494594573975;-0.12257887423038483;0.06939291954040527;0.4910935438364176;1.8230675351276882;3.349360983805877;0.045958808391137335;-0.009480233192935856;-0.0449704041269459;0.05;
14;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4549907578680235;3.3635236324605797;0.7230598330497742;0.5912367105484009;0.07286100834608078;0.6319149761006513;0.36076518268178803;2.5146383318874763;0.047967479649904804;0.028141610722647658;-0.038844933387753335;0.05;0.37869957089424133;0.0626225471496582;0.04259467497467995;0.1365114556099683;-1.0942255751862355;-0.5912106587638135;0.05600285891027722;-0.031214123092169373;0.0464972980474276;0.05;0.9737797975540161;-0.12332019209861755;0.07286100834608078;0.4895663043445335;1.8254360995327703;3.3441111972957906;0.04598172050187974;-0.00924862709198779;-0.045041997260627076;0.05;
15;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.461685349411704;3.3404532980851043;0.7207887172698975;0.5847229361534119;0.06640074402093887;0.6250188555056189;0.36104418498397023;2.490507619326222;0.04798870333150309;0.0290835453770573;-0.03817149506817443;0.05;0.377536803483963;0.06223103404045105;0.04529760405421257;0.13736788598020017;-1.1006411644277336;-0.596629312983751;0.055911394113648066;-0.031414226223191545;0.046251814910658634;0.05;0.9713483452796936;-0.13110662996768951;0.06640074402093887;0.4892424869319813;1.8420908446667488;3.3591513872406606;0.04605401230239281;-0.009940599648127012;-0.04496839476548619;0.05;
16;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.465662060762178;3.377524677657237;0.7220086455345154;0.5897360444068909;0.07036220282316208;0.6301400167936936;0.36004502698753454;2.507708567363645;0.048001311440460305;0.02843015695989562;-0.038676246912540055;0.05;0.3766268789768219;0.06192295253276825;0.0480569526553154;0.13804122225398913;-1.1056170337746436;-0.6008188405311039;0.056013084685379494;-0.031665210736988136;0.04620368042649445;0.05;0.9751216769218445;-0.1108694076538086;0.07036220282316208;0.48788588156917595;1.8000435957477052;3.3103432414859033;0.04593786793889254;-0.007715302396485974;-0.04528533780046152;0.05;
17;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6003194044223406;3.221008700341174;0.7187181115150452;0.5798094272613525;0.07499870657920837;0.6196907166045377;0.36071917238725787;2.470797152348636;0.048428586040532975;0.030103660514315175;-0.03793543949296182;0.05;0.36946213245391846;0.0448869913816452;0.02145536057651043;0.1380397654981137;-1.2396002320350825;-0.7348037424532878;0.05511434527997071;-0.03695094723329595;0.04089276897205676;0.05;0.976572573184967;-0.1225930005311966;0.07499870657920837;0.4920878593212626;1.8225763748033297;3.3538326169961095;0.04642893541437729;-0.00978026121145592;-0.04538714062758424;0.05;
18;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6276725479714969;3.220574562022992;0.7207649350166321;0.584930956363678;0.078522689640522;0.6252050705531944;0.36089106341201127;2.4910236981127913;0.048515453271888616;0.029382862441729073;-0.038605655037924624;0.05;0.3666939437389374;0.04182354360818863;0.0376109816133976;0.13971296803025712;-1.2667814845594856;-0.7600212551511953;0.05502812177633755;-0.037910900958013395;0.03988555847400326;0.05;0.9757306575775146;-0.10889951884746552;0.078522689640522;0.4880356173112204;1.7958292605971091;3.3068748819024405;0.046430300006045595;-0.007639210672779967;-0.045797545992643345;0.05;
19;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4871103350515216;3.3361253454810584;0.7183390855789185;0.5780559778213501;0.07199423015117645;0.617916393848258;0.3611468063695001;2.4646670977747664;0.04806932362990313;0.030110597985665857;-0.03747014495811269;0.05;0.37248238921165466;0.060787383466959;0.04249121993780136;0.14126516573425682;-1.1259635286820215;-0.617369067295767;0.05581986735164987;-0.0323136686588472;0.045515760006420006;0.05;0.9767560958862305;-0.12188823521137238;0.07199423015117645;0.49209055756803893;1.821096433016507;3.3523661453688938;0.046067578694109074;-0.00963809003582069;-0.045048074622555695;0.05;
