i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.385111335904397;4.070097923037091;0.4672488868236542;0.5469105839729309;0.05729237198829651;0.6465683199051513;0.8076425844518259;3.010867902162701;0.34300744900333563;0.044711962330036686;-0.3400807999525602;0.47619127928966154;0.4788944239824189;-0.4376203715801239;0.3280329406261444;0.049646005034446716;0.4934679438753164;-1.0904313868233635;0.44771626476240045;0.2939856758651787;0.12726875650972314;0.2650098889294034;-0.4121666202781793;0.3810349184120251;0.0326126404106617;-0.09964108467102051;-0.012586146593093872;0.20228728828865325;2.9796665362137285;3.571206702663806;0.2627466270335541;-0.10943921332543322;-0.23886994077158372;0.010724797745575054;-0.14741507282533725;
1;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.381762120798182;4.432540052949102;0.4684233069419861;0.5485478639602661;0.061943940818309784;0.6485488268047237;0.807069871220651;3.016707356449122;0.34294666843357785;0.04271775412773645;-0.34027578649085893;0.4769668577675334;0.4804927066620943;-0.43485233187675476;0.32442647218704224;0.05085998773574829;0.48935037749752736;-1.0943533151607532;0.4232451395620258;0.300969778733354;0.12361472943767088;0.2744124748929165;-0.4101293859892206;0.3793089671656255;-0.029583917930722237;-0.04853855073451996;-0.04493393003940582;0.15145596473709205;-2.9449985693912373;-2.4240548633640593;0.2561327846579526;-0.16841539245390072;-0.19297735349319026;-0.06326699642150238;-0.08713402143315802;
2;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.3871918787669095;4.528795283172942;0.4684041738510132;0.5474259853363037;0.06678102165460587;0.6477595869110796;0.8083003581066257;3.015389838859213;0.3430452016215939;0.043178438438788935;-0.34031695933289563;0.477039861538771;0.4793625934697246;-0.43031999468803406;0.3257293403148651;0.05537789687514305;0.4859310989299757;-1.0876930703060514;0.41287443758934156;0.30270424507459565;0.1214582270543051;0.277268388149471;-0.406028349277173;0.38118301794475934;-0.03908389061689377;-0.026567429304122925;-0.027170099318027496;0.1324645789122793;-2.8420830943126965;-2.3437305810128275;0.2543934959696303;-0.18211138580561237;-0.17762740202910618;-0.07550616777801625;-0.06209290970994416;
3;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.3948947032863215;4.0543671461818445;0.4688071608543396;0.5401222109794617;0.07245684415102005;0.6430301040120566;0.8169467449456486;3.008564965190675;0.34318494389195897;0.045518569876152826;-0.34015285609642737;0.4779108748295702;0.4720916397601762;-0.42581310868263245;0.33232012391090393;0.06582161784172058;0.4850664320481733;-1.0713438589476163;0.42492293059765596;0.2934989148116006;0.1209950941354539;0.26739820528705843;-0.40161408985554164;0.38579976496831564;0.022230613976716995;-0.03901787847280502;0.0371614545583725;0.1407841281283561;2.9830232872342277;3.4910480123818366;0.26303586238624477;-0.09005983242931043;-0.24713779857415585;0.004218647490854911;-0.0884454381876362;
4;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.3868757182337745;3.729441078310891;0.47311684489250183;0.5315327048301697;0.08242236077785492;0.6403592930996458;0.8313329548070792;3.0140599102413694;0.34303946493164433;0.04363026774947993;-0.34025354404722596;0.4818428984423978;0.4634819960207245;-0.42058590054512024;0.3329554796218872;0.07019978016614914;0.48079180028699875;-1.0649766341387328;0.41007236055518154;0.2874619664778744;0.11460409792421376;0.26362906309871037;-0.3976650809602775;0.3856812922416293;0.12630853056907654;-0.14432650804519653;0.0753094032406807;0.27504415541523297;2.6644644441721583;3.3912042419711477;0.269046814365106;-0.06646198985182503;-0.2607086347341563;0.11301613259871153;-0.19646823499202778;
5;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.388867911425667;3.6844777850526644;0.4807257652282715;0.5214265584945679;0.09885531663894653;0.6392946156185603;0.8510345579994967;3.0301858633476515;0.3430756116867151;0.03814193870512473;-0.34094877598552575;0.4883541529692964;0.45323680329746274;-0.4148181974887848;0.34166550636291504;0.08358985185623169;0.4800795287590261;-1.043282837754422;0.4282385587579289;0.2865693230218921;0.1190033753421878;0.2606917213000672;-0.3910175224203472;0.3938038506229285;0.17132040858268738;-0.21330368518829346;0.039900198578834534;0.3570852580960242;2.6411949472982426;3.591551114538084;0.26988378447645367;-0.11738004970431706;-0.24302094776941544;0.14784439864182397;-0.2619078747421765;
6;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.420574855093782;3.668477755002834;0.478198766708374;0.5195977091789246;0.11542052775621414;0.6361888854967613;0.8505777992848721;3.019196307142136;0.3436504848474498;0.04195662266406001;-0.3410796058847744;0.486590091241186;0.4513817880019697;-0.40702900290489197;0.3544861674308777;0.10875198245048523;0.48003730961187513;-1.0120326528009322;0.4592797259610994;0.2856629952297013;0.12663514522710628;0.2560603187471929;-0.3817019738594707;0.4056982311803163;0.20343151688575745;-0.28589269518852234;0.010711545124650002;0.436231078973406;2.6564451022019013;3.9185869079607833;0.2701819006782097;-0.1894351812088317;-0.1926462342597619;0.1655444806439911;-0.3244219420404747;
7;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.4313893400576045;3.6630968638244776;0.4805648624897003;0.5108575224876404;0.12661094963550568;0.6322550836841302;0.8634372339264392;3.018494468712402;0.34384637699996856;0.04222004820002823;-0.3412444849458989;0.48900887212970595;0.4426086254984606;-0.40496787428855896;0.3667353093624115;0.12016066908836365;0.484919276237247;-0.9883587331955419;0.507176396834327;0.2853554636084783;0.13860029327764456;0.24943475963578232;-0.37724781563303006;0.416622261289568;0.20918068289756775;-0.3150286078453064;0.00852966494858265;0.46476370708942616;2.6747381306289357;4.071142664042096;0.2702821916687164;-0.2165908615170782;-0.1616813589766446;0.1658625105941521;-0.34736487964063534;
8;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.423233806966296;3.666044066116563;0.5006735324859619;0.49385544657707214;0.12782646715641022;0.6370212703908689;0.9042480480639529;3.075704509126411;0.34369865743414085;0.02262928527474341;-0.3429528868080646;0.5051993895409106;0.42526486921545925;-0.4031898081302643;0.38486436009407043;0.12719084322452545;0.4936696517226105;-0.9557034521493374;0.583451696826439;0.2855662837169209;0.15732071650446147;0.23832392778404737;-0.37172566482937197;0.4325291456508799;0.19420447945594788;-0.32205769419670105;0.029309475794434547;0.46459452974759796;2.710340613967226;4.105924845214383;0.27022725859923563;-0.2220372186052289;-0.15402027413334898;0.1497970357349021;-0.35286174902337086;
9;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.449809573396777;3.666528704095881;0.4982396960258484;0.4951743483543396;0.13075165450572968;0.635928895626867;0.9002516957165249;3.0679815319162995;0.34417982238376765;0.02531258853648916;-0.3432477574547345;0.5033022137331462;0.42652479686339273;-0.41540127992630005;0.407784104347229;0.1262274980545044;0.5170002691036382;-0.9331240380662846;0.7224697991182182;0.2850709189566351;0.1885001428270396;0.21385304531141494;-0.3777012513608921;0.450554713409512;0.17072038352489471;-0.2947487533092499;0.051433950662612915;0.43008374485685247;2.7334046660295965;3.9678992504449604;0.27021822587987715;-0.19872760463189432;-0.18309895891276334;0.13097486259851585;-0.3313685450918025;
10;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.3;0.3;0.1;4.449519713808524;3.6538106906834473;0.5068215727806091;0.47998887300491333;0.1293637454509735;0.6334505902147021;0.9274559965476376;3.086660706271582;0.34417457742663937;0.01889667289768195;-0.3436554313556004;0.5106009073601455;0.41125778673379326;-0.40873709321022034;0.42023763060569763;0.12245206534862518;0.519247678301879;-0.9062095968234251;0.7605296472535078;0.28483502903969776;0.19633828257143088;0.2063547250850981;-0.3694694366959342;0.46150857562271724;0.14836722612380981;-0.2568848133087158;0.08063529431819916;0.3864965766446976;2.747601093860023;3.802204909506588;0.2704553095530195;-0.16595149003072118;-0.21355602876529392;0.11517692811766558;-0.2995960190617746;
