i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
0;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.39125171303749084;-0.024233641102910042;0.10350075364112854;0.11141570481034031;-1.79005541561107;-0.9752880199759589;0.3;-0.24835904443293022;0.16827889067961493;0.3664158085941978;-0.007405752034948549;
1;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.387188196182251;-0.028611350804567337;0.11458181589841843;0.11638347165932243;-1.8191793119557687;-0.9910991461943599;0.3;-0.25098856915213236;0.1643311843654918;0.36208933926703774;-0.012178232368018158;
2;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.3903292715549469;-0.02941443771123886;0.12672586739063263;0.11354680895356298;-1.8328360722027233;-1.0123980525061502;0.3;-0.2544314515239995;0.15894853404605744;0.364886126402547;-0.013519584306633116;
3;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.4019283354282379;-0.02484096772968769;0.13656148314476013;0.10116879494005847;-1.8188728480657441;-1.0305441426762747;0.3;-0.2572736991478546;0.15430568274298653;0.37620096551345245;-0.009410399455389037;
4;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.4136884808540344;-0.009520492516458035;0.14952319860458374;0.0868350051248937;-1.6806560570700633;-0.927110887701233;0.3;-0.23996681646880047;0.18004423621385113;0.38969179920715435;0.008483931104927078;
5;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.4132290780544281;0.011574309319257736;0.16653382778167725;0.08753946270969674;-1.43818984227235;-0.6829927466047031;0.3;-0.1893351848274807;0.23270622635920962;0.39429555957168005;0.034844931955178696;
6;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.4032948911190033;0.031200729310512543;0.1884448081254959;0.10161379627389829;-1.258702384453833;-0.4692534094775018;0.3;-0.13566615683638922;0.2675718480880308;0.38972827543536437;0.057957914119315626;
7;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.3907182514667511;0.04761819913983345;0.20567704737186432;0.11920567709553553;-1.159865853925856;-0.3240745628165458;0.3;-0.09552949740887778;0.2843837462387877;0.3811653017258633;0.07605657376371222;
8;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.37006285786628723;0.0640917420387268;0.23011915385723114;0.14488413406386283;-1.1125617573903832;-0.20143733708351874;0.3;-0.06002334333823588;0.2939340032294669;0.36406052353246365;0.09348514236167349;
9;0.3;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.35467690229415894;0.07378807663917542;0.24774493277072906;0.16298307575000004;-1.100966459315519;-0.13081547751524958;0.3;-0.03913280875673871;0.2974367550905713;0.35076362141848505;0.10353175214823254;
