i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
31;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.26621440052986145;0.2925485670566559;0.15011194348335266;0.37448680965624775;-0.6742128640900745;1.377210166856446;0.3;0.29439619314559473;0.05771378917885804;0.3250936391589804;0.3040913248924275;
32;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.28059136867523193;0.29113638401031494;0.16086922585964203;0.36455526548715433;-0.6458192083805816;1.3493990491148566;0.3;0.29267747081543977;0.06587790279811129;0.3391268628383199;0.3043119645699372;
33;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.2620841860771179;0.3147355020046234;0.15545490384101868;0.3945407085925225;-0.6472810824550873;1.5081305860143193;0.3;0.2994111434807602;0.018787420247166196;0.32196641477327;0.3184929860540566;
34;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.26663583517074585;0.35605645179748535;0.2445284128189087;0.4257170777559556;-0.5801713562323129;1.7122908359123823;0.3;0.2970019025943526;-0.04230685352675944;0.3260362156896164;0.34759508109213344;
35;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.26700395345687866;0.3848576843738556;0.2915918827056885;0.4498917591224923;-0.5443867239890684;1.8358326650687053;0.3;0.2895248948740336;-0.07858330133164285;0.3249089324316854;0.369141024107527;
36;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.27702605724334717;0.38885584473609924;0.30209800601005554;0.44824797504715225;-0.5206387499646677;1.8540721308716468;0.3;0.28804349894491393;-0.0838507168459005;0.33463475703233;0.37208570136691915;
37;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.2836223840713501;0.38997578620910645;0.2629959285259247;0.4459824957376433;-0.5065583115295216;1.8604561302860008;0.3;0.28750233000269254;-0.08568786520285619;0.3411228500718886;0.3728382131685352;
38;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.2921251058578491;0.38871023058891296;0.22997546195983887;0.4408033745096518;-0.4910838214740585;1.857870561843932;0.3;0.2877229205963756;-0.08494422266106007;0.3496696899771242;0.37172138605670096;
39;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3052721619606018;0.3714453876018524;0.19940751791000366;0.4193931411911602;-0.48285379117175437;1.784106517925438;0.3;0.2932006546669969;-0.06350886633253999;0.3639122928940012;0.3587436143353444;
40;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3187546730041504;0.35760948061943054;0.18440298736095428;0.40091696046280123;-0.4690924718911778;1.7167247094773495;0.3;0.2968114005592213;-0.043623302237147235;0.37811695311599464;0.3488848201720011;
