i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
0;0.1409776210784912;0.022470545023679733;0.08215510796095234;-1.2937522188967425;0.10045397673501869;0.010028511508601762;0.09949587406984192;0.22;0.0;10.0;0.1;0.1
1;0.14008018374443054;0.022077275440096855;0.08291310584691595;-1.301275043285459;0.10028671331149883;0.010011869347872241;0.09949755008120119;0.22;0.0;10.0;0.1;0.1
2;0.14008018374443054;0.022077275440096855;0.08291310584691595;-1.301275043285459;0.10028671331149883;0.010011869347872241;0.09949755008120119;0.22;0.0;10.0;0.1;0.1
3;0.13980503380298615;0.022281641140580177;0.08323283087374711;-1.2997885667687703;0.10488138049705203;0.01046892018783313;0.09945049879261934;0.22;0.0;10.0;0.1;0.1
4;0.13980503380298615;0.022281641140580177;0.08323283087374711;-1.2997885667687703;0.10488138049705203;0.01046892018783313;0.09945049879261934;0.22;0.0;10.0;0.1;0.1
5;0.13980503380298615;0.022281641140580177;0.08323283087374711;-1.2997885667687703;0.10488138049705203;0.01046892018783313;0.09945049879261934;0.22;0.0;10.0;0.1;0.1
6;0.13800641894340515;0.02282806485891342;0.0851120900911683;-1.299260012645127;0.12374278200089942;0.012342722641768193;0.09923536263746097;0.22;0.0;10.0;0.1;0.1
7;0.13800641894340515;0.02282806485891342;0.0851120900911683;-1.299260012645127;0.12374278200089942;0.012342722641768193;0.09923536263746097;0.22;0.0;10.0;0.1;0.1
8;0.1377495974302292;0.02300155721604824;0.08540609086741122;-1.2981095904744808;0.12777068400828787;0.012742331753326825;0.09918484249868102;0.22;0.0;10.0;0.1;0.1
9;0.1377495974302292;0.02300155721604824;0.08540609086741122;-1.2981095904744808;0.12777068400828787;0.012742331753326825;0.09918484249868102;0.22;0.0;10.0;0.1;0.1
10;0.1377495974302292;0.02300155721604824;0.08540609086741122;-1.2981095904744808;0.12777068400828787;0.012742331753326825;0.09918484249868102;0.22;0.0;10.0;0.1;0.1
11;0.13607248663902283;0.023264549672603607;0.08709228881150181;-1.3003876835442065;0.1420412965515326;0.014156414700838874;0.09899290844710985;0.22;0.0;10.0;0.1;0.1
12;0.13607248663902283;0.023264549672603607;0.08709228881150181;-1.3003876835442065;0.1420412965515326;0.014156414700838874;0.09899290844710985;0.22;0.0;10.0;0.1;0.1
13;0.135814368724823;0.023458056151866913;0.08709228881150181;-1.3003876835442065;0.1420412965515326;0.014156414700838874;0.09899290844710985;0.22;0.0;10.0;0.1;0.1
14;0.135814368724823;0.023458056151866913;0.08739279668041412;-1.2990428927563384;0.1463430387585086;0.01458212437800566;0.09893109545852796;0.22;0.0;10.0;0.1;0.1
