i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
0;0.2;0.05;0.0005;0.0005;5.0;0.3;3.141592653589793;0.7;0.7;3;1.5029387956382627;0.48815813660621643;-0.17262199521064758;0.007665825076401234;0.5174762636333794;1.9119246391827667;4.309956396301603;0.08943019592733958;-0.08228570493942798;-0.03502602898165509;0.4799295661122736;-0.1761245981088131;3.774193525314331;2;-0.03363863006234169;-0.12130072712898254;0.0034564260859042406;0.1264945184254333;-2.868321872358557;-2.0121075748576294;1.3105698040726603;-1.1850072214930523;-0.5597777204894525;-0.15213935221164693;-0.1772784991779278;3.85337233543396;2;
1;0.2;0.05;0.001;0.001;5.0;0.3;3.141592653589793;0.7;0.7;3;1.517917284750527;0.47785162925720215;-0.1652899533510208;0.0033535053953528404;0.5050146779161303;1.9063345924218973;4.2749099220298294;0.09023292671019312;-0.08173502028138216;-0.03822783700772424;0.46967812722906394;-0.16911273705179325;3.710850477218628;2;-0.03247622773051262;-0.11426211893558502;0.0017994762165471911;0.12002505523675501;-2.8589334300071623;-2.0208829873259724;1.3097670732898068;-1.1793265906613661;-0.5698057378029683;-0.15040888679664924;-0.17124269271588186;3.800586462020874;2;
2;0.2;0.05;0.0015;0.0015;5.0;0.3;3.141592653589793;0.7;0.7;3;1.5311593828521457;0.4938409626483917;-0.17400571703910828;0.034312788397073746;0.5226871724224315;1.913225081325621;4.323041789720484;0.09095452969401419;-0.08414722467662084;-0.03452493375926451;0.48542624018072966;-0.17745821041503473;3.763636350631714;2;-0.032853882759809494;-0.10846836864948273;0.003000653116032481;0.1152095107363245;-2.83880084300182;-2.013896512861886;1.3090454703059857;-1.1826267941843267;-0.5612431817010535;-0.15111656217824215;-0.16459268681958808;3.7953078746795654;2;
3;0.2;0.05;0.002;0.002;5.0;0.3;3.141592653589793;0.7;0.7;3;1.5519116914479463;0.49407705664634705;-0.1712823361158371;0.05208723247051239;0.5216958862090961;1.9093805284924235;4.316978824524136;0.09210856258914879;-0.08500134205030761;-0.03547899592555781;0.4855769224413163;-0.17483023570839287;3.7794721126556396;2;-0.03777007386088371;-0.11813095211982727;0.011126164346933365;0.1265428956208778;-2.821893087239217;-1.9655407580050652;1.3078914374108512;-1.2073078884002428;-0.5029788014013806;-0.158500862700908;-0.16842883225996533;3.800586462020874;2;
4;0.2;0.05;0.0025;0.0025;5.0;0.3;3.141592653589793;0.7;0.7;3;1.5743492713006606;0.48786142468452454;-0.1701311469078064;0.0806066021323204;0.5151477705032761;1.9125182588241663;4.305184228858824;0.09338922982948616;-0.08575292797314504;-0.03698626220878755;0.47928613188721003;-0.17382977312868514;3.790029287338257;2;-0.03981592878699303;-0.11514785885810852;0.027914386242628098;0.12502662325682196;-2.79631777705476;-1.9442760516140174;1.3066107701705136;-1.2165374418770805;-0.4767267112683658;-0.16146967297470108;-0.16282052998494512;3.811143636703491;2;
5;0.2;0.05;0.003;0.003;5.0;0.3;3.141592653589793;0.7;0.7;3;1.743537443771767;0.48772287368774414;-0.16970671713352203;0.0916280522942543;0.5145715445097437;1.9130724781469979;4.304400948278642;0.10430353962345751;-0.09574240472054436;-0.04138381708240137;0.4781486332156897;-0.17384509884176216;3.7689149379730225;2;-0.06493028253316879;-0.1170257180929184;0.05202144384384155;0.13791554041788348;-2.626575385260822;-1.736842830136044;1.2956964603765424;-1.2778753535871374;-0.21415858172590127;-0.19271781789188253;-0.13844157626550851;3.790029287338257;2;
6;0.2;0.05;0.0035;0.0035;5.0;0.3;3.141592653589793;0.7;0.7;3;1.8746882687830175;0.49018779397010803;-0.16891144216060638;0.09273619204759598;0.5163242335852448;1.9112564917238184;4.306641290951278;0.11465157573334261;-0.10534273186941456;-0.045253648034462676;0.4796535207831666;-0.17343680696405264;3.7425220012664795;2;-0.08731813728809357;-0.117376409471035;0.06578487157821655;0.15119206469616167;-2.4972405466727507;-1.5661197955729058;1.2853484242666573;-1.2853343690430696;0.006010950127306419;-0.21585157419240053;-0.11677531445830436;3.811143636703491;2;
7;0.2;0.05;0.004;0.004;5.0;0.3;3.141592653589793;0.7;0.7;3;2.0327777533039657;0.49359285831451416;-0.16644985973834991;0.08816208690404892;0.5184152019350889;1.9058186394277807;4.305996534948004;0.13013696252677764;-0.1195376786902663;-0.05144290416606147;0.4816390904454875;-0.17159415015495605;3.7161290645599365;2;-0.1171840950846672;-0.11440341919660568;0.06413709372282028;0.16942536580729817;-2.34458891444784;-1.3521849610809618;1.2698630374732223;-1.239639725052385;0.2754005918889171;-0.2411480675899057;-0.08686336000771397;3.737243413925171;2;
8;0.2;0.05;0.0045000000000000005;0.0045000000000000005;5.0;0.3;3.141592653589793;0.7;0.7;3;2.1539024816350785;0.49747928977012634;-0.16339433193206787;0.0806523934006691;0.5207850677939735;1.8990463626188328;4.304596662214138;0.1450470670830989;-0.13315300302448058;-0.057523294889737134;0.4841639894676783;-0.1691466614210416;3.7002933025360107;2;-0.14421404898166656;-0.11078435182571411;0.06367731839418411;0.18816575177326123;-2.2302364629256757;-1.1692973285815174;1.254952932916901;-1.1551543344945914;0.49043381544821035;-0.2597294824311257;-0.06174097028089308;3.737243413925171;2;
9;0.2;0.05;0.005000000000000001;0.005000000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;2.2613766574389857;0.5002082586288452;-0.1600477397441864;0.07805437594652176;0.5219884824484904;1.8925074794352021;4.300761718292122;0.16132217653547243;-0.1478470911270876;-0.06454519569573541;0.4854235495161365;-0.16650225931375995;3.7055718898773193;2;-0.17470429837703705;-0.107291579246521;0.06868894398212433;0.21190335916370195;-2.1293011703053986;-0.9734164752163972;1.2386778234645275;-1.0241539700837687;0.6967290692259609;-0.2771196953854139;-0.03761867232392491;3.7794721126556396;2;
