i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
12;0.2;0.05;0.006500000000000002;0.006500000000000002;5.0;0.3;3.141592653589793;0.7;0.7;3;2.651099087258321;0.2127005010843277;-0.06133968383073807;0.10349273681640625;0.2170734192610471;1.8886405946753138;3.0663799626385417;0.2659964262805369;0.019987449895783594;-0.2652444167945494;0.21469924607390606;-0.08786412551019301;3.6369502544403076;2;-0.42465904355049133;-0.06868785619735718;0.10907390713691711;0.43766577951095165;-1.7434456252459518;0.4302006887189056;1.134003573719463;0.4729398342055205;1.0306755155868252;-0.3773650601299393;0.034379695361325346;3.6791789531707764;2;
13;0.2;0.05;0.007000000000000003;0.007000000000000003;5.0;0.3;3.141592653589793;0.7;0.7;3;2.6940449052207844;0.21147455275058746;-0.061772704124450684;0.1099000796675682;0.21573021938324266;1.8952492631400197;3.067271514434906;0.2852789485891945;0.02118274291672891;-0.28449142326383065;0.21359282704226035;-0.09022184645083375;3.6263930797576904;2;-0.4164610803127289;-0.045390743762254715;0.11501855403184891;0.4266896724454268;-1.6938911388187823;0.4415566757136591;1.1147210514108055;0.47637309105697173;1.0078053882447928;-0.3688237712070317;0.055389795062224564;3.6633431911468506;2;
14;0.2;0.05;0.007500000000000003;0.007500000000000003;5.0;0.3;3.141592653589793;0.7;0.7;3;2.740144021053571;0.20997563004493713;-0.062213242053985596;0.11517967283725739;0.21414088091668027;1.9023880952338645;3.067681000062013;0.3088068590108833;0.022803649863030438;-0.30796374742019855;0.21225599503124018;-0.09300961679600545;3.6158359050750732;2;-0.40877145528793335;-0.02162681333720684;0.12222523987293243;0.4172892231327265;-1.6406531908921507;0.4605369283928544;1.0911931409891167;0.4849580499306619;0.9775060924358191;-0.3602756502948672;0.07612379590637507;3.6633431911468506;2;
15;0.2;0.05;0.008000000000000004;0.008000000000000004;5.0;0.3;3.141592653589793;0.7;0.7;3;2.788879752902898;0.20756514370441437;-0.0631563663482666;0.12222333997488022;0.21187136440220583;1.913300664492187;3.069051388931104;0.33741499539241204;0.024455049269372395;-0.3365276061200537;0.2100106486313516;-0.09680912696027197;3.621114492416382;2;-0.39965397119522095;0.0038382941856980324;0.132638081908226;0.40767521389767963;-1.5810048897845015;0.4836665455089135;1.062585004607588;0.49413206804800336;0.9407020736362343;-0.3502407643904206;0.09790850154932146;3.668621778488159;2;
16;0.2;0.05;0.008500000000000004;0.008500000000000004;5.0;0.3;3.141592653589793;0.7;0.7;3;2.8245077814148782;0.20586459338665009;-0.06584512442350388;0.12873324751853943;0.2109027743966968;1.9310471769492974;3.0827496510677728;0.36113031333453705;0.0212377310487331;-0.3605052870472257;0.20798836649152339;-0.10189565312822645;3.621114492416382;2;-0.3908405601978302;0.025748640298843384;0.14285826683044434;0.3997128952276568;-1.5276303488154108;0.505664508584587;1.0388696866654628;0.5032169389647302;0.9088580407364859;-0.3405188663013572;0.11663444437249197;3.668621778488159;2;
17;0.2;0.05;0.009000000000000005;0.009000000000000005;5.0;0.3;3.141592653589793;0.7;0.7;3;2.8614467202530234;0.20498880743980408;-0.06886417418718338;0.1331804394721985;0.21088964475177208;1.9489633504713335;3.1006110486789074;0.3885391766378511;0.015918502323411892;-0.38821294809189294;0.20658065767214526;-0.10768546899637267;3.6158359050750732;2;-0.3822832703590393;0.047477323561906815;0.15056796371936798;0.39317057632960367;-1.4727752364552296;0.5339797876702794;1.0114608233621487;0.5147962539773037;0.870653670575948;-0.33080364496130893;0.1345426906195016;3.6633431911468506;2;
18;0.2;0.05;0.009500000000000005;0.009500000000000005;5.0;0.3;3.141592653589793;0.7;0.7;3;2.8980245957446424;0.2034093141555786;-0.07220616936683655;0.1337559074163437;0.2104203417659259;1.96958219433931;3.1192737517450326;0.4187885685121363;0.009346124973097407;-0.41868426655945834;0.20434392665288836;-0.11407459602278239;3.6105573177337646;2;-0.37345388531684875;0.06942327320575714;0.15882433950901031;0.38761382450960385;-1.4155785170956343;0.5681058411943922;0.9812114314878636;0.5279274539579099;0.8270843225693384;-0.32066113992105777;0.15213170546269097;3.668621778488159;2;
19;0.2;0.05;0.010000000000000005;0.010000000000000005;5.0;0.3;3.141592653589793;0.7;0.7;3;2.934794387424077;0.20641230046749115;-0.0803188756108284;0.13937780261039734;0.216183466219173;2.00180570654724;3.175754075346357;0.4525480605994794;-0.015456678422887943;-0.4522840238660675;0.20486663262520236;-0.12554727799743515;3.6105573177337646;2;-0.3628595769405365;0.09502887725830078;0.16760852932929993;0.38243192084877414;-1.3465852132082692;0.6151557601162816;0.9474519394005205;0.5467609997859793;0.7737684321467527;-0.3081834769619386;0.17240572047297606;3.658064603805542;2;
20;0.2;0.05;0.010500000000000006;0.010500000000000006;5.0;0.3;3.141592653589793;0.7;0.7;3;2.9815137178588045;0.2114105522632599;-0.08831732720136642;0.15017592906951904;0.22389710620271536;2.027900588541806;3.2351004287390985;0.5004841943378256;-0.04673099364730291;-0.4982977453438036;0.2067374528985296;-0.1381471017357468;3.6263930797576904;2;-0.35147854685783386;0.12129436433315277;0.17401614785194397;0.3785549623942294;-1.2737710007789753;0.6712876169150332;0.8995158056621743;0.5594940942797099;0.704340147302564;-0.29552913742986286;0.19172837906340917;3.658064603805542;2;
21;0.2;0.05;0.011000000000000006;0.011000000000000006;5.0;0.3;3.141592653589793;0.7;0.7;3;3.036915446386862;0.21352019906044006;-0.09730969369411469;0.16073818504810333;0.22966371236134195;2.0619020876747336;3.294526440644985;0.5644027062515918;-0.08598016514598811;-0.5578152257025522;0.20492218254584124;-0.1530912162643699;3.6263930797576904;2;-0.3368595540523529;0.1525392234325409;0.18163564801216125;0.37555242126151783;-1.184367773117992;0.7476185948700045;0.8355972937484081;0.5681179049886717;0.612751893796295;-0.28004776355348576;0.2138144128121704;3.658064603805542;2;
22;0.2;0.05;0.011500000000000007;0.011500000000000007;5.0;0.3;3.141592653589793;0.7;0.7;3;3.081279880688005;0.21600542962551117;-0.10849354416131973;0.17131827771663666;0.23710951348840792;2.101416146694328;3.3675498665550814;0.6202308025059295;-0.13895610295045807;-0.6044645976647194;0.20210981933046537;-0.16894000392779168;3.631671667098999;2;-0.3230034112930298;0.18154555559158325;0.18889838457107544;0.3752439515077146;-1.1004892797972514;0.8301466646678841;0.7797691974940704;0.5754933287569419;0.526162930960364;-0.2654540784173356;0.23416184868761966;3.658064603805542;2;
23;0.2;0.05;0.012000000000000007;0.012000000000000007;5.0;0.3;3.141592653589793;0.7;0.7;3;3.121015614349886;0.21617168188095093;-0.11996005475521088;0.17573429644107819;0.24310395252462366;2.144579556061258;3.4382175079996498;0.672525388978148;-0.1965752233540783;-0.6431551759750547;0.1965141595455431;-0.18427557235271635;3.621114492416382;2;-0.3084257245063782;0.20987099409103394;0.19549216330051422;0.37659736487130574;-1.0175901367684363;0.9189605560164613;0.727474611021852;0.5783215639899951;0.44132015397618174;-0.25059356810737865;0.2540030094886521;3.658064603805542;2;
24;0.2;0.05;0.012500000000000008;0.012500000000000008;5.0;0.3;3.141592653589793;0.7;0.7;3;3.15197824809692;0.21379539370536804;-0.13214707374572754;0.1806776076555252;0.2478762019036944;2.1938843076277217;3.5097328670689696;0.7138800269422295;-0.25691177070812365;-0.6660488232394491;0.18810421663455568;-0.19875195606967244;3.6263930797576904;2;-0.29304271936416626;0.23690536618232727;0.2004188746213913;0.37909645438578565;-0.9373227514549365;1.0100793024618815;0.6861199730577704;0.581057179662047;0.36487418570239133;-0.23493700139796156;0.2733927847525664;3.6527860164642334;2;
25;0.2;0.05;0.013000000000000008;0.013000000000000008;5.0;0.3;3.141592653589793;0.7;0.7;3;3.1669011695145364;0.2133646160364151;-0.15193678438663483;0.18770085275173187;0.2595190208890734;2.2595143763846295;3.630603816817762;0.7337702013459149;-0.34469088183861174;-0.6477707189743487;0.17889552785255391;-0.2167138562840697;3.6263930797576904;2;-0.2756561040878296;0.26313620805740356;0.20683620870113373;0.3819561087461498;-0.856769761280423;1.1029359075428085;0.666229798654085;0.5946335689202142;0.300454760867375;-0.21619274719580817;0.2931816841441411;3.6527860164642334;2;
26;0.2;0.05;0.013500000000000009;0.013500000000000009;5.0;0.3;3.141592653589793;0.7;0.7;3;3.175095962138611;0.21293383836746216;-0.17276757955551147;0.19786646962165833;0.27289094356436205;2.322071856100434;3.7581439714225953;0.7446407032470564;-0.43056979821157704;-0.6075355345988517;0.16987685854630447;-0.23352113301539665;3.6369502544403076;2;-0.2590954303741455;0.28575798869132996;0.2101839780807495;0.3852696212616743;-0.7860174889405473;1.1877907891114396;0.6553592967529435;0.6078756500638168;0.24491427459420295;-0.19830786536776382;0.31024941615075025;3.642228841781616;2;
