i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
0;0.2;0.05;0.001;0.001;5.0;0.3;3.141592653589793;0.7;0.7;3;0.4476986095651556;-0.06721406430006027;-0.0873393565416336;0.02315584197640419;0.11161093352589889;-2.484045527856962;-1.6687611564880231;0.05486236295275648;-0.054599313422702724;-0.005365989426886774;-0.07267399564233054;-0.08787595548432228;3.6897361278533936;2;-0.4482724368572235;-0.22470593452453613;0.00643891328945756;0.5027811565673699;-2.0363469182918066;0.32675234468806214;1.3451376370472434;0.43174735507113826;1.2739660450695371;-0.4050977013501097;-0.09730933001758241;3.658064603805542;2;
1;0.2;0.05;0.002;0.002;5.0;0.3;3.141592653589793;0.7;0.7;3;0.5512858585307117;-0.055355437099933624;-0.09216248244047165;0.030729718506336212;0.11025524597168415;-2.5945005502973064;-1.7827957334391868;0.057032900245173046;-0.055756057027441575;-0.012000575616550338;-0.06093104280267778;-0.09336254000212668;3.710850477218628;2;-0.45051828026771545;-0.22924228012561798;0.0076757632195949554;0.508178891822698;-2.0432146917665945;0.33301463519955177;1.3429670997548269;0.4390072480827071;1.2691860648284552;-0.4066175554594447;-0.10232367364277245;3.5894429683685303;2;
2;0.2;0.05;0.003;0.003;5.0;0.3;3.141592653589793;0.7;0.7;3;0.6674074185469796;-0.049464572221040726;-0.10896062850952148;0.031177405267953873;0.12364349426712218;-2.7033803849843085;-1.8552426024981326;0.05967845290263862;-0.05728040492321615;-0.01674732673249233;-0.05519261271336234;-0.11063536118277072;3.7266862392425537;2;-0.44957953691482544;-0.22415544092655182;0.014010966755449772;0.5063870373307101;-2.0359729664373294;0.33593686634457187;1.3403215470973613;0.44184210689844755;1.2654000956950355;-0.4053953262249807;-0.09761543135704825;3.631671667098999;2;
3;0.2;0.05;0.004;0.004;5.0;0.3;3.141592653589793;0.7;0.7;3;0.7138485696069901;-0.059852056205272675;-0.1388012170791626;0.019333379343152046;0.15642657280951797;-2.7211201164434486;-1.772940742825427;0.0608060753284434;-0.05956795996300987;-0.012208068753639376;-0.06580885220157366;-0.14002202395452654;3.658064603805542;2;-0.44564035534858704;-0.20574897527694702;0.031201794743537903;0.49615630781814407;-2.0072715468364586;0.3392207841309247;1.3391939246715565;0.44561996782687463;1.2628789380424323;-0.4010783585658996;-0.07946108147270378;3.6263930797576904;2;
4;0.2;0.05;0.005;0.005;5.0;0.3;3.141592653589793;0.7;0.7;3;0.7387491915371491;-0.07526632398366928;-0.16658133268356323;0.00866253674030304;0.1894276550330468;-2.7040324842059924;-1.6382738146309568;0.061428295627399265;-0.06128850067559283;-0.004141882256295681;-0.08139517405122856;-0.1669955209091928;3.6527860164642334;2;-0.4421219825744629;-0.18114124238491058;0.054737627506256104;0.4843207918496958;-1.9652832926688437;0.3501366199336504;1.3385717043726006;0.4591650865944717;1.2573550139080292;-0.3962054739150157;-0.055405740994107666;3.6791789531707764;2;
5;0.2;0.05;0.006;0.006;5.0;0.3;3.141592653589793;0.7;0.7;3;0.7679183318752483;-0.09170404076576233;-0.19110845029354095;0.02311493270099163;0.21999504712397291;-2.681401620325284;-1.4911330190640106;0.062173463965734754;-0.06197628433521795;0.00494770669085543;-0.09790166919928413;-0.1906136796244554;3.6633431911468506;2;-0.4392278790473938;-0.15284080803394318;0.07640738040208817;0.47271372581924964;-1.913483288450036;0.36963183807717914;1.3378265360342652;0.48331948242818795;1.2474702875911672;-0.390895930804575;-0.028093779274826453;3.6369502544403076;2;
6;0.2;0.05;0.007;0.007;5.0;0.3;3.141592653589793;0.7;0.7;3;0.7496183156044035;-0.12423516064882278;-0.22018544375896454;0.042580362409353256;0.26236595291020515;-2.617764194558901;-1.2329632118104816;0.06170387948202771;-0.05821607262110351;0.020451347919073767;-0.13005676791093312;-0.21814030896705716;3.658064603805542;2;-0.43602240085601807;-0.12875737249851227;0.08811065554618835;0.46335613932258435;-1.8681458789544978;0.38754009652820687;1.3382961205179722;0.5057582707309074;1.2390500707319043;-0.38544657378292735;-0.004852365425321831;3.578885793685913;2;
7;0.2;0.05;0.008;0.008;5.0;0.3;3.141592653589793;0.7;0.7;3;0.7419060583812228;-0.14768876135349274;-0.23871015012264252;0.07253552228212357;0.2917274217232957;-2.5786478725044493;-1.049190872176211;0.06150808480729242;-0.05332876079384733;0.030647802023206945;-0.15302163743287747;-0.2356453699203218;3.7002933025360107;2;-0.42967790365219116;-0.11122255772352219;0.09009818732738495;0.4536253582148107;-1.8367418141232263;0.38905619143399517;1.3384919151927075;0.5077104741753842;1.2384630319266088;-0.37890685623465276;0.012623745469138692;3.621114492416382;2;
8;0.2;0.05;0.009000000000000001;0.009000000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;0.7365170569685126;-0.16867399215698242;-0.2514006793498993;0.09190135449171066;0.31524048168800994;-2.542838084350868;-0.8959863349048071;0.061372002898233635;-0.047920835441626564;0.03834209527813191;-0.17346607570114508;-0.2475664698220861;3.6897361278533936;2;-0.42239269614219666;-0.09452499449253082;0.08961959183216095;0.44364071360675655;-1.8063210273823558;0.38731423575350443;1.3386279971017663;0.505603755792063;1.2394715635115015;-0.37183232056299037;0.029422161858619317;3.6263930797576904;2;
9;0.2;0.05;0.010000000000000002;0.010000000000000002;5.0;0.3;3.141592653589793;0.7;0.7;3;0.7622688284275206;-0.17916592955589294;-0.2636622488498688;0.11445066332817078;0.3326781858648273;-2.536771009105922;-0.804014891932539;0.06202773988297794;-0.044669122048019906;0.04303614818323631;-0.18363284176069494;-0.25935863403154513;3.6791789531707764;2;-0.4136686623096466;-0.07751769572496414;0.09134284406900406;0.43261354866468615;-1.7745021806784014;0.381801047056732;1.3379722601170219;0.49851834319845023;1.24163168062728;-0.3638168279898016;0.046645472337763866;3.6369502544403076;2;
