i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
0;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.9531750082969666;0.11239377409219742;0.06612998247146606;0.4669046461534128;1.3276876544801302;3.5939240812034265;0.3;-0.13111910319284764;-0.26982916962015685;0.926951187658397;0.05842794016816605;
1;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.9539785385131836;0.10748889297246933;0.0711900070309639;0.4665301443026089;1.3383068388398154;3.6034384536882316;0.3;-0.1336803850662009;-0.26856945963484424;0.9272424614999434;0.05377500104550048;
2;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.9487712383270264;0.0918596163392067;0.07107693701982498;0.4580762092311267;1.3688938949790033;3.608538366103999;0.3;-0.13504832140060624;-0.2678842117163282;0.9217615740469052;0.03828277399594106;
3;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.9313721060752869;0.0591236837208271;0.05615180358290672;0.43540498834596386;1.434585428594204;3.6005212311409904;0.3;-0.13289634047214885;-0.26895829172775226;0.9047928379808571;0.005332025375276647;
4;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.9068774580955505;0.038549430668354034;0.030753061175346375;0.4086995528638987;1.47633373016115;3.544967445743187;0.3;-0.11775735247193078;-0.27592246363571316;0.8833259876011644;-0.016635062058788598;
5;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8741204142570496;-0.01831783726811409;0.02396652102470398;0.37456858854694086;1.6197196672441152;3.547394205794979;0.3;-0.11842660268081494;-0.2756358826014501;0.8504350937208865;-0.07344501378840411;
6;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8529539704322815;-0.05232970044016838;0.04295549541711807;0.35681213935636996;1.7179861948309605;3.5655527239931244;0.3;-0.12341194284576262;-0.2734401074514019;0.828271581863129;-0.10701772193044876;
7;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8291476368904114;-0.11188838630914688;0.05157569795846939;0.3476451896135009;1.898475435846523;3.7031386375013753;0.3;-0.15974862161543113;-0.2539298680580325;0.7971979125673252;-0.16267435992075338;
8;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.8171322345733643;-0.15550749003887177;0.0944330170750618;0.353207352222013;2.0266984947281914;3.8575090349978263;0.3;-0.19689272841867836;-0.22634763859127968;0.7777536888896286;-0.2007770177571277;
9;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.7890874743461609;-0.22738365828990936;0.12841293215751648;0.3677973570883082;2.2372861454729898;4.134912474877611;0.3;-0.2513528761584052;-0.16377341556827046;0.7388168991144799;-0.26013834140356346;
10;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.7667797803878784;-0.2571583688259125;0.15087080001831055;0.37054268024211284;2.3378329139760043;4.247719295977804;0.3;-0.26819089136578095;-0.134438260136123;0.7131416021147222;-0.28404602085313707;
11;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.7493778467178345;-0.2699844241142273;0.16355256736278534;0.3675335354738595;2.3958503826638977;4.292293087999859;0.3;-0.27391495049759956;-0.12235440283822062;0.6945948566183145;-0.2944553046818714;
12;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.7008160352706909;-0.2830130457878113;0.18620581924915314;0.34702084102822;2.524476304664373;4.326183341154806;0.3;-0.27790349111196955;-0.1130028744226422;0.645235337048297;-0.3056136206723397;
13;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.6701458096504211;-0.28149154782295227;0.19469721615314484;0.32891805672136454;2.597912087377523;4.312303533060976;0.3;-0.2763083147655972;-0.11684911292515508;0.6148841466973017;-0.3048613704079833;
14;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.6425589323043823;-0.2773266136646271;0.20217294991016388;0.31182222471538934;2.666770645888018;4.296609393020215;0.3;-0.27444051620020343;-0.1211709662739629;0.5876708290643416;-0.30156080691941967;
15;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.6177937984466553;-0.27469977736473083;0.2075585424900055;0.29889019160341135;2.7364999882129424;4.301747329978965;0.3;-0.27505945986024716;-0.11975931505060088;0.5627819064746058;-0.29865164037485104;
16;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.5986120104789734;-0.2743583023548126;0.21506747603416443;0.2915421181951588;2.7965436858375874;4.325075786634907;0.3;-0.27777816384433407;-0.1133105983183845;0.5430563777101066;-0.29702042201848955;
17;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.5850627422332764;-0.273707777261734;0.22237399220466614;0.28662103455574195;2.8402760624019314;4.34427707787005;0.3;-0.27990253456682934;-0.1079563390591997;0.5290822353199105;-0.29529904507357396;
18;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.5706939697265625;-0.27799588441848755;0.2248581051826477;0.2868437712576608;2.8925723405365047;4.397682159857113;0.3;-0.2852661509639587;-0.09286131118074915;0.5136407395337708;-0.2965681466546374;
19;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.5568891167640686;-0.28081855177879333;0.2261902540922165;0.2865230019201507;2.941714499910026;4.445227551835908;0.3;-0.28935724464206874;-0.0791983899656424;0.4990176678356549;-0.2966582297719218;
20;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.5421050786972046;-0.2845039665699005;0.22594693303108215;0.28760275493483173;2.994664455823056;4.503553764498386;0.3;-0.29348191859728723;-0.062196169146140165;0.48340869497774713;-0.2969432003991285;
21;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.5256245732307434;-0.2865917682647705;0.22382649779319763;0.2877350524186889;3.0524183737351374;4.561966664751662;0.3;-0.2966123639113501;-0.04495670778561094;0.46630210044847337;-0.2955831098218927;
22;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.5126643776893616;-0.2873982787132263;0.22361795604228973;0.28767717509316604;3.0975555419202263;4.606815535639852;0.3;-0.29832968943531046;-0.03161323142975417;0.4529984398022995;-0.2937209249991771;
23;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.49954527616500854;-0.28700676560401917;0.2260368913412094;0.28700712582834337;-3.1400082886583607;-1.634085172233172;0.3;-0.29939937882785983;-0.018973981065966893;0.4396654003994366;-0.29080156181721256;
24;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.48713216185569763;-0.2854802906513214;0.22721441090106964;0.2857701482115844;-3.0965487936193266;-1.596782031444049;0.3;-0.29989871717260236;-0.007794834073118859;0.4271524184211772;-0.28703925746594516;
25;0.2;0.05;0.5;0.0;5.0;0.3;0.05;0.3;0.1;0.47483348846435547;-0.2832759916782379;0.22530615329742432;0.28439170305085;-3.0529843233673324;-1.560071621255948;0.3;-0.2999827472690328;0.003217349984628327;0.4148369390105489;-0.28263252168131225;
