i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
36;0.25377288460731506;-0.07996863126754761;0.09636651444250027;2.5496142912375244;4.1200472694926615;-0.08296355653473896;-0.0558305318540597;0.2;0.0;0.1;0.1;0.1
37;0.25377288460731506;-0.07996863126754761;0.09636651444250027;2.5496142912375244;4.1200472694926615;-0.08296355653473896;-0.0558305318540597;0.2;0.0;0.1;0.1;0.1
38;0.2540520429611206;-0.07985780388116837;0.09643076370637109;2.546570668416752;4.117010071597442;-0.08279360577028501;-0.05608225069979476;0.2;0.0;0.1;0.1;0.1
39;0.2540520429611206;-0.07985780388116837;0.09643076370637109;2.546570668416752;4.117010071597442;-0.08279360577028501;-0.05608225069979476;0.2;0.0;0.1;0.1;0.1
40;0.2540520429611206;-0.07985780388116837;0.09643076370637109;2.546570668416752;4.117010071597442;-0.08279360577028501;-0.05608225069979476;0.2;0.0;0.1;0.1;0.1
41;0.2535015046596527;-0.08165208250284195;0.09761902262314322;2.5615443570439393;4.132102586105649;-0.0836305664693021;-0.05482634724312431;0.2;0.0;0.1;0.1;0.1
42;0.2535015046596527;-0.08165208250284195;0.09761902262314322;2.5615443570439393;4.132102586105649;-0.0836305664693021;-0.05482634724312431;0.2;0.0;0.1;0.1;0.1
43;0.2535015046596527;-0.08165208250284195;0.09761902262314322;2.5615443570439393;4.132102586105649;-0.0836305664693021;-0.05482634724312431;0.2;0.0;0.1;0.1;0.1
44;0.2535198926925659;-0.0815354511141777;0.09761902262314322;2.5615443570439393;4.132102586105649;-0.0836305664693021;-0.05482634724312431;0.2;0.0;0.1;0.1;0.1
45;0.2535198926925659;-0.0815354511141777;0.09753157797460385;2.5607312672650653;4.131280751862436;-0.08358548006225697;-0.054895059183518904;0.2;0.0;0.1;0.1;0.1
46;0.2535198926925659;-0.0815354511141777;0.09753157797460385;2.5607312672650653;4.131280751862436;-0.08358548006225697;-0.054895059183518904;0.2;0.0;0.1;0.1;0.1
47;0.2528396248817444;-0.08384815603494644;0.0991087242784619;2.5792754081059868;4.149982607328966;-0.08459744270230037;-0.05332234698727174;0.2;0.0;0.1;0.1;0.1
