i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
10;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.34013500809669495;0.12383498251438141;0.09806656837463379;0.20221750302726255;-0.9117222922849965;0.5616014081891049;0.3;0.15976269524954057;0.25392101371608145;0.3720875471466031;0.1746191852575977;
11;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.3467238247394562;0.15319590270519257;0.1300652176141739;0.21670849200748865;-0.7856600879226723;0.7020365440177314;0.3;0.19373219549769388;0.22905858732569556;0.38547026383899496;0.1990076201703317;
12;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.36450669169425964;0.18974995613098145;0.17232219874858856;0.23315977879416466;-0.6201015974094191;0.8839537810029676;0.3;0.23197560125706812;0.19022965179335669;0.41090181194567327;0.22779588648965277;
13;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.3704192042350769;0.18687641620635986;0.17791198194026947;0.22740707457157824;-0.6062851751651693;0.8920453396376654;0.3;0.2335072447768999;0.18834640064705493;0.4171206531904569;0.22454569633577084;
14;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.37290066480636597;0.18246246874332428;0.16002674400806427;0.22236634976221634;-0.6084256025396086;0.8848924780132006;0.3;0.232154067033356;0.19001181321136865;0.4193314782130372;0.22046483138559803;
15;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.3743017613887787;0.179311603307724;0.13993996381759644;0.21898104545998975;-0.6113997991030461;0.8785541496253351;0.3;0.2309450545173419;0.1914794552791029;0.4204907722922471;0.2176074943635446;
16;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.37554484605789185;0.17762283980846405;0.1293470412492752;0.21688466650359844;-0.6111760868359579;0.8766955083628564;0.3;0.23058876420055327;0.19190836830232713;0.4216625988980025;0.21600451346892946;
17;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.3766689598560333;0.1798691600561142;0.1310301572084427;0.2180904862718334;-0.601044210952884;0.8880250498064771;0.3;0.23274815264262005;0.1892836428259125;0.42321859038455734;0.21772588862129671;
18;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.3789112865924835;0.18641941249370575;0.14095154404640198;0.22229411568727156;-0.5760587507994482;0.9171875288242113;0.3;0.23816838718630334;0.18241660929058814;0.4265449640297442;0.2229027343518234;
19;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.3849908411502838;0.1960543990135193;0.15604721009731293;0.22729811700027672;-0.5305221338620686;0.9676999953900662;0.3;0.24707500233798946;0.1701585825625099;0.4344058416178817;0.23008611552602126;
20;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.3938847780227661;0.20564523339271545;0.1695801317691803;0.23140959866095018;-0.47637428589889574;1.0259389013962215;0.3;0.2565603586024639;0.15548884974098662;0.4451968497432589;0.23674300334091278;
21;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.4047499895095825;0.21524269878864288;0.17965124547481537;0.23537626023081235;-0.4166193245345179;1.0896429988940894;0.3;0.26593852504960386;0.13884055925572045;0.4579376945195033;0.24301081063978697;
22;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.4164848029613495;0.22390484809875488;0.18551722168922424;0.2389731556860124;-0.35701095248607506;1.1528341214176017;0.3;0.2741753927840232;0.12176967599417601;0.4713198815181541;0.24825878329759007;
23;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.4284396171569824;0.2325451374053955;0.18700926005840302;0.2433066569651014;-0.29853048703417007;1.2156331198801977;0.3;0.2812769241542109;0.10432301729889855;0.4846950019878246;0.2534097408651752;
24;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.4396924078464508;0.23982948064804077;0.18861404061317444;0.24729574492754175;-0.24635258626278755;1.2717882038354364;0.3;0.2866887416537946;0.08837174553534531;0.49703015617720975;0.2575038297551098;
25;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.45054805278778076;0.24604208767414093;0.19124265015125275;0.25096255495617226;-0.19834709834407813;1.3234510331005798;0.3;0.290869737481027;0.07344927377257324;0.5087220002839862;0.2607319424286556;
26;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.46163129806518555;0.2513817548751831;0.19542668759822845;0.25429302776971546;-0.15146226155071554;1.3736588824041385;0.3;0.2941893790895155;0.058758907673010376;0.5204691738830887;0.2631335364097852;
27;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.4731057584285736;0.25574710965156555;0.20157943665981293;0.2571573143521921;-0.10477442883223681;1.4232053960068165;0.3;0.2967384645510507;0.04411670495271426;0.5324534513387837;0.2645704506421084;
28;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.48470598459243774;0.25991421937942505;0.20658349990844727;0.26036379998552533;-0.05877477753361839;1.4724060862345967;0.3;0.29854907514117934;0.029469471192175137;0.5444157996206737;0.26580811361786005;
29;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.4961523413658142;0.26331669092178345;0.2109103798866272;0.26334480096436924;-0.01461124551784333;1.5195462857055935;0.3;0.29960610122136055;0.015368282628057072;0.5560735616100864;0.26639034744739487;
30;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.5006862878799438;0.25818347930908203;0.1979525238275528;0.25818439143216493;0.0026581339186266067;1.5316631987675202;0.3;0.2997703190570125;0.011736942210683835;0.5606403516913463;0.2605308677512188;
31;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.5124437808990479;0.26294687390327454;0.20189997553825378;0.2632411559360885;0.0472890341619464;1.5813430598211538;0.3;0.2999833151180317;-0.003163961250661087;0.5724404439226543;0.2623140816531423;
32;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.523888111114502;0.2683202624320984;0.21681173145771027;0.2693815232792497;0.08879425124784936;1.6289816641268557;0.3;0.2994923132347292;-0.017445753446350087;0.5837865737614478;0.26483111174282836;
33;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.5358698964118958;0.2748914361000061;0.23233923316001892;0.2772218445752857;0.12975437282160313;1.6777764824050585;0.3;0.2982849236012017;-0.03203286362823744;0.5955268811321361;0.2684848633743586;
34;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.5475960373878479;0.2823317348957062;0.2439483255147934;0.28631554499231215;0.16701162581089848;1.7241243517054794;0.3;0.2964804808023459;-0.04581838608255195;0.6068921335483171;0.2731680576791958;
35;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.557863175868988;0.2794521450996399;0.24141013622283936;0.28537983201767364;0.20417407758408962;1.7603512779466999;0.3;0.2946264567888409;-0.056526550930100415;0.6167884672267562;0.2681468349136198;
36;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.5682041645050049;0.2861211597919464;0.24667797982692719;0.29413793726160914;0.23400802665894652;1.7989423578616117;0.3;0.29222621539991617;-0.06785159565582664;0.6266494075849881;0.27255084066078106;
37;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.5775327086448669;0.29139217734336853;0.247465118765831;0.30153063182157624;0.2600516393423961;1.832378596763532;0.3;0.289794599325375;-0.07758279578518275;0.6354916285099419;0.275875618186332;
38;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.5856988430023193;0.29469621181488037;0.24388305842876434;0.3069041364171832;0.2829989095915696;1.8606992631067338;0.3;0.2874814879728842;-0.08575776392197065;0.6431951405968962;0.27754465903048625;
39;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.5939537286758423;0.29606178402900696;0.23885001242160797;0.31061211034750746;0.3072927155632955;1.888700754365008;0.3;0.2849677591095057;-0.09377300394093546;0.6509472804977434;0.2773071832408199;
40;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.601942777633667;0.29574114084243774;0.23534941673278809;0.31281808179588;0.3319478725162979;1.9155615791588976;0.3;0.28234644526398167;-0.10139272580808437;0.6584120666864633;0.2754625956808209;
41;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.6100633144378662;0.29433754086494446;0.23309007287025452;0.31424277421680114;0.35783725917669335;1.9428753972252613;0.3;0.2794720521565115;-0.10906590697109765;0.6659577248691685;0.27252435947072495;
42;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.6212432384490967;0.2841160297393799;0.22572878003120422;0.30890425899377416;0.4033422210593692;1.983042571532051;0.3;0.27486694072376455;-0.12020051953780604;0.6762166265938496;0.26007592583181866;
43;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.637220025062561;0.27105098962783813;0.2141052484512329;0.30380581669283474;0.4686364542897798;2.0432385794028822;0.3;0.26713787029844194;-0.13651871026497728;0.6906475991222494;0.24374724757484267;
44;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.6456598043441772;0.2704702615737915;0.21572619676589966;0.3071985367761038;0.49400434121499953;2.071999080449704;0.3;0.2631015889344207;-0.1441442121633161;0.6982801221310614;0.24164141914112827;
45;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.6489769220352173;0.3170017898082733;0.2593502700328827;0.3502631268642703;0.4393249223712941;2.0603421121251597;0.3;0.2647639598302997;-0.14106752133279807;0.7019297140012772;0.2887882855417137;
46;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.6611328125;0.32664525508880615;0.2759517729282379;0.36422644870491133;0.45827007651828544;2.0932047577977007;0.3;0.25998598871917145;-0.14969063320633946;0.7131300102438343;0.29670712844753827;
47;0.2;0.05;0.5;0.0;1.0;0.3;0.05;0.3;0.1;0.6542279124259949;0.300628125667572;0.2661852538585663;0.3378809241636435;0.4740084073692854;2.0826675546527484;0.3;0.26154884680819845;-0.14694284852724726;0.7065376817876345;0.27123955596212257;
