i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
0;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.898173443257502;-0.2561905086040497;0.3032795190811157;0.028539856895804405;0.3970038329700036;-0.7014289000235797;1.3209587027606278;1.3164290355695432;1.2755573122372907;0.3254826399188385;-0.12863477738032061;0.3358277830729996;3.2832846641540527;2;-0.33457475900650024;-0.1896345466375351;0.002978930016979575;0.38457968048595753;-2.0864407639456637;-0.11555520757972737;0.08357096443045664;-0.009635582689841;0.08301362323175568;-0.33553831727548433;-0.18133318431435952;3.3255133628845215;2;
1;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.908704265901288;-0.2519226670265198;0.30013012886047363;0.037665873765945435;0.39184579162160116;-0.6982951095873507;1.3030033884596386;1.3169155693624397;1.2699770654890468;0.34846071508999166;-0.12492496047761509;0.3349762003694728;3.198827028274536;2;-0.338422954082489;-0.18575222790241241;0.005834490060806274;0.3860492015541908;-2.072776150865649;-0.09567416527482836;0.0830844306375601;-0.007936912123704776;0.08270446203384751;-0.3392166452948595;-0.17748178169902767;3.2357773780822754;2;
2;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.878058140615881;-0.24608829617500305;0.2961515784263611;0.046977583318948746;0.38505221323703764;-0.6933323503954697;1.2795557284655554;1.3154838657796255;1.2600867174506378;0.37772909026309337;-0.12007962442993927;0.33392448745267045;3.225220203399658;2;-0.33625319600105286;-0.19596239924430847;0.009928199462592602;0.38918822404912023;-2.0984595169591747;-0.1081897536309312;0.0845161342203744;-0.00912595215091652;0.08402198486643554;-0.3371657912161445;-0.1875602007576649;3.3149561882019043;2;
3;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.808925584925456;-0.2364611029624939;0.2938215434551239;0.05596481263637543;0.37715375195348433;-0.6776475510709763;1.2613269654143642;1.312068104227623;1.2497387179000978;0.39959460345816505;-0.11148723117248412;0.3337810038009404;3.2463345527648926;2;-0.3344249725341797;-0.21963608264923096;0.012599094770848751;0.40010007630090083;-2.151907273325106;-0.11706311245326406;0.08793189577237692;-0.010270087357383679;0.08733008416230839;-0.33545198126991804;-0.21090307423300012;3.278006076812744;2;
4;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.738548760622044;-0.22230440378189087;0.29599738121032715;0.0666065365076065;0.37018062837511323;-0.6441632026427091;1.2641122975921468;1.3082992790785735;1.247253901005209;0.39497431570268354;-0.09757901368136997;0.3354948127805955;3.241055965423584;2;-0.3345630466938019;-0.23784057796001434;0.019569257274270058;0.41048821266559254;-2.188799749200251;-0.11328800657771199;0.09170072092142645;-0.010366384633717965;0.09111289857717816;-0.3355996851571737;-0.22872928810229654;3.3149561882019043;2;
5;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.6577538251452015;-0.20639722049236298;0.30157098174095154;0.07497826218605042;0.36543791491192373;-0.6001838666815066;1.2868234781002479;1.303560131138628;1.2513524665563025;0.36522050864870015;-0.08126197383673273;0.3380930326058216;3.241055965423584;2;-0.3343144655227661;-0.2566988170146942;0.03167704492807388;0.4214978582561437;-2.225615348715891;-0.10891088014001815;0.0964398688613719;-0.010482598920364185;0.09586846940404019;-0.33536272541480255;-0.2471119700742902;3.3360705375671387;2;
6;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.588264368262717;-0.19141356647014618;0.3075638711452484;0.08383659273386002;0.36226328583320727;-0.5566942192312466;1.3159083419629434;1.2990810930703391;1.2571097899419732;0.32754642786157073;-0.06570258747594887;0.3403185139314055;3.2357773780822754;2;-0.3320230543613434;-0.2689441740512848;0.041278768330812454;0.42728243280477063;-2.251615158148115;-0.11405507431310935;0.10091890692966088;-0.01148537422238054;0.10026321336786205;-0.3331715917835814;-0.2589178527144986;3.29384183883667;2;
7;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.522234740524878;-0.17373888194561005;0.3174888491630554;0.09620599448680878;0.3619176265983628;-0.5007127329808024;1.370313463317717;1.2944293330588656;1.2685026040003928;0.25777595296583045;-0.046888621545570774;0.34326644445963844;3.230498790740967;2;-0.32658299803733826;-0.2700170874595642;0.046199698001146317;0.42375191106023585;-2.2616632996355106;-0.13676775940954178;0.10557066694113426;-0.014393692113586714;0.1045848332490671;-0.32802236724869693;-0.2595586041346575;3.278006076812744;2;
8;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.471129878453632;-0.15422897040843964;0.32452505826950073;0.10516371577978134;0.35930918267986167;-0.4436483639862765;1.4154328657145592;1.2905298846466446;1.274985909495263;0.19969555266610023;-0.02673037945891335;0.34449461353611077;3.225220203399658;2;-0.32535311579704285;-0.26575180888175964;0.04847282916307449;0.42009364894362694;-2.2557037927122305;-0.14414373918328927;0.10947011535335538;-0.015724845854061007;0.10833482994098875;-0.32692560038244894;-0.2549183258876608;3.2621703147888184;2;
9;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.443590488778093;-0.13623756170272827;0.32907676696777344;0.11682786047458649;0.3561631533113258;-0.39251621079195675;1.4520451188403554;1.2883092406855128;1.2792361390599702;0.15262896238467658;-0.008313947796731253;0.3443396632062411;3.2357773780822754;2;-0.32745498418807983;-0.25482994318008423;0.0487578883767128;0.4149277848141536;-2.23211102919345;-0.1397518230675031;0.11169075931448713;-0.015558228085481495;0.11060184110170512;-0.329010806996628;-0.24376975906991372;3.2463345527648926;2;
10;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.417539907396083;-0.11776828020811081;0.3322240114212036;0.1257476806640625;0.3524800158703641;-0.3406643671014393;1.4867468084956577;1.2861259520586348;1.2815858221234064;0.10797103820470728;0.010390302004229829;0.34302111524167433;3.214663028717041;2;-0.3313557505607605;-0.24440579116344452;0.05127061903476715;0.4117412102084441;-2.2063097668849423;-0.1260107018395198;0.11387404794136524;-0.01431140401389448;0.11297115786652553;-0.33278689096215;-0.23310867537679197;3.2357773780822754;2;
11;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.386622147522565;-0.097603440284729;0.3345767557621002;0.1334950029850006;0.3485226492664526;-0.28384521366307996;1.5249655456601912;1.2834239445848343;1.2820762898511016;0.05879973244267316;0.030604188700381146;0.34045672900636753;3.1935484409332275;2;-0.33707478642463684;-0.23539333045482635;0.05495578795671463;0.41113189084018964;-2.1804083733201014;-0.10243415138690048;0.11657605541516558;-0.011920497283923446;0.11596498799492772;-0.33826683615302916;-0.2237968316553336;3.2727274894714355;2;
12;0.2;0.05;0;0;5.0;0.3;3.141592653589793;0.7;0.7;3;4.318418846086655;-0.07275848835706711;0.3352115750312805;0.14327102899551392;0.34301690579759664;-0.2137370827082171;1.5689161969757992;1.276997143557993;1.276994886537631;0.0024009189940083432;0.05494100029669599;0.33545166693068135;3.135483980178833;2;-0.33575350046157837;-0.23352043330669403;0.06377770006656647;0.4089770236137346;-2.178503543801148;-0.10879945842463956;0.12300285644200692;-0.01335625734284065;0.1222755620828822;-0.33708912619586245;-0.2212928770984058;3.2568917274475098;2;
