i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
17;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.49654075503349304;0.04413030296564102;0.12888866662979126;0.04426567536565514;-0.078227104599747;0.3353177143375914;0.3;0.09872076179142603;0.2832917421869556;0.5064128312126357;0.07245947718433658;
18;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5185747146606445;0.1109391450881958;0.18902665376663208;0.1124833940527406;0.16589281019603713;0.6423427646794122;0.3;0.17972187671635528;0.24020834088255802;0.5365469023322801;0.1349599791764516;
19;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5096513628959656;0.10991082340478897;0.23269380629062653;0.11033375688006064;0.08758619336995234;0.5617852478975254;0.3;0.15980937331464806;0.25389163869804665;0.5256323002274303;0.13529998727459364;
20;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5196791887283325;0.11703891307115555;0.22164402902126312;0.118681833664141;0.16658405683701183;0.6496361784066333;0.3;0.1814690199639871;0.23889117772180296;0.5378260907247312;0.14092803084333586;
21;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5328363180160522;0.11933604627847672;0.19015584886074066;0.12377122332040696;0.2685134873215185;0.7571136933763607;0.3;0.20604794382505084;0.21804642818782582;0.5534411123985573;0.1411406890972593;
22;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5386875867843628;0.11362916231155396;0.1707073301076889;0.12003464457740139;0.32816184129589737;0.8126773484792926;0.3;0.2178391811494131;0.20626703846265204;0.5604715048993041;0.13425586615781915;
23;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5159357190132141;0.09015937894582748;0.19665241241455078;0.09155687168293505;0.17494368389922718;0.6302885606612458;0.3;0.17681336950887114;0.2423572412017421;0.5336170559641013;0.1143951030660017;
24;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5199649333953857;0.09106800705194473;0.20298725366592407;0.09323079144732842;0.2158167209725156;0.6727856409453219;0.3;0.1869501061735355;0.23462663489404564;0.5386599440127393;0.1145306705413493;
25;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5245338678359985;0.09160566329956055;0.20545776188373566;0.09483410894581494;0.2616792438997057;0.7202138334663559;0.3;0.19786362543607094;0.22549941403315046;0.5443202303796056;0.11415560470287558;
26;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.527899444103241;0.09360251575708389;0.21103022992610931;0.09767195061697603;0.28967875921028985;0.7510091123671052;0.3;0.20471303073764474;0.21930019390371758;0.5483707471770054;0.11553253514745565;
27;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5287963151931763;0.09424670785665512;0.21993356943130493;0.09854780418924844;0.29653329048111343;0.7587329102139926;0.3;0.20640073800397868;0.21771250618972934;0.5494363889935742;0.11601795847562806;
28;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5290530323982239;0.09542204439640045;0.22791342437267303;0.09974690595863546;0.29555152343324953;0.7589461664464578;0.3;0.2064471618590882;0.2176684849957095;0.5496977485841327;0.1171888928959714;
29;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5299592018127441;0.09714993834495544;0.2308974415063858;0.10166446918016823;0.2991280022214761;0.7644456382721632;0.3;0.20764109561988509;0.2165298487732667;0.5507233113747326;0.11880292322228211;
30;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5321241617202759;0.09944208711385727;0.23043952882289886;0.10450210742272338;0.3124616763888662;0.7806522678297501;0.3;0.21112289267754938;0.2131363980822233;0.5532364509880309;0.1207557269220796;
31;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.507091224193573;0.08083680272102356;0.2505509853363037;0.0811472373819417;0.08749873621614752;0.5329806051807662;0.3;0.15243083371264254;0.258388933458205;0.5223343075648372;0.10667569606684406;
32;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5133211016654968;0.08537129312753677;0.23550942540168762;0.08640433692732274;0.1547890538565657;0.6052016706128145;0.3;0.17067838175813246;0.24671621349320594;0.5303889398413101;0.11004291447685736;
33;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5317872166633606;0.10268761217594147;0.23024986684322357;0.10749498982557276;0.30019743798877035;0.7714539494660777;0.3;0.2091534924870966;0.21506932970660883;0.5527025659120702;0.12419454514660236;
34;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5571898818016052;0.12136777490377426;0.2118065059185028;0.13416713221044413;0.44035266134702605;0.9406570087991863;0.3;0.2423836266011553;0.1767771974992015;0.5814282444617207;0.13904549465369442;
35;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5723404288291931;0.13395869731903076;0.20281897485256195;0.15224345710277093;0.4951490549201524;1.0170697469843895;0.3;0.25517123136807723;0.15775817786124177;0.5978575519660009;0.14973451510515495;
36;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5797104239463806;0.1432957649230957;0.20175158977508545;0.1639738635594308;0.5076404918478162;1.0445170480303925;0.3;0.2594046127709427;0.15069587543512025;0.6056508852234749;0.15836535246660774;
