i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.597279276936484;2.4821770578958064;0.31848233938217163;0.49877434968948364;0.019510336220264435;0.51034496418463;0.6739190741981506;2.2963941666451766;0.4141609181761646;0.3098349588703917;-0.2748300645968458;0.3494658352692108;0.47129134322979904;-0.18071211874485016;0.21299786865711212;0.01866166479885578;0.21313232552173492;-1.0119869560449521;-0.40315237678586513;0.1964395903635961;-0.0770671671026196;0.18069079782045996;-0.18841883545511212;0.23106694843915812;0.7007266879081726;0.17073628306388855;0.012062281370162964;0.704287947425236;1.4701901018508539;3.8369903661663236;0.2756155963069494;-0.1765843916339286;-0.21161736591997976;0.6830682487447798;0.14957454647189058;
1;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.555822304110709;2.5104654616991464;0.31496214866638184;0.48712465167045593;0.02483530342578888;0.4990657782532437;0.6829749505994868;2.2491002026335307;0.41312194141177094;0.321672487993087;-0.2592229714824055;0.34712939746569055;0.46120235452221536;-0.18047547340393066;0.20487472414970398;0.026624755933880806;0.20873453060250807;-1.04438805246939;-0.4426721380414893;0.19857249414871864;-0.08505963249855424;0.17943214414271985;-0.18898143665378608;0.22281793856397597;0.6969650387763977;0.1732533872127533;0.021026035770773888;0.7008040553640704;1.4660774092297564;3.8242780025906753;0.2738846319658984;-0.1727880102781658;-0.21250198853471486;0.6796862377485812;0.1520031883592818;
2;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.520941041214777;2.5104662353614176;0.31920573115348816;0.46761617064476013;0.026757672429084778;0.4868613228844024;0.7150298360438538;2.2202270358929503;0.412231286239822;0.3283126198997931;-0.24928990547046231;0.3520369931434675;0.4426871800977139;-0.1802302747964859;0.2040519416332245;0.03719126060605049;0.20810996735106363;-1.0472144299209556;-0.44649767658121153;0.19966744818620538;-0.08621824423905929;0.18009304324577596;-0.18885209922039184;0.22206124595780208;0.6946275234222412;0.17499272525310516;0.028436334803700447;0.6986639429200594;1.4632518054404617;3.8160949715370474;0.27388458475620353;-0.17104330474806664;-0.21390875079794663;0.6775231929474346;0.1536018501733105;
3;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.479836804034087;2.492732977795264;0.32459452748298645;0.4355596899986267;0.02036944590508938;0.46686391253113335;0.7687896892084753;2.1753970662582773;0.41116197162263374;0.3382749255778956;-0.23371829546246617;0.358422020040776;0.4121878604523801;-0.1810123324394226;0.20758046209812164;0.0470246821641922;0.21056832696397013;-1.0345588139370239;-0.4298923450162162;0.2004118242680349;-0.08352622627727874;0.18217647715969953;-0.18936495506715048;0.2257981098140916;0.693911075592041;0.17848186194896698;0.04000801593065262;0.6983351512592503;1.4581741638582402;3.8101891608737324;0.27496857732985014;-0.17044897569201098;-0.2157657646716597;0.6768661780228399;0.15690528548180102;
4;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.4534168150293825;2.470470913083124;0.3286416828632355;0.4100259840488434;0.009196880273520947;0.45179803729170087;0.8145376213147598;2.148834370298072;0.410463154584451;0.3437777665180914;-0.2242695889309372;0.3630194595150446;0.3875990251557497;-0.18182145059108734;0.21287275850772858;0.06276160478591919;0.21400770899243612;-1.015230870835444;-0.4049617308908686;0.20054516982854503;-0.07901150533495861;0.18432457016432666;-0.1897226011245832;0.23130521552416125;0.6956331133842468;0.1807444989681244;0.05318224057555199;0.7003035788501112;1.4552400422476797;3.8121929038559994;0.27633461028452266;-0.17172990223799992;-0.21649401266184248;0.6784601231604468;0.15909509770194014;
5;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.391857074242415;2.445474010102763;0.34427350759506226;0.3780020773410797;0.005053951404988766;0.44250356274019204;0.8914967705541751;2.182359728602946;0.4087990822259914;0.3347048186369085;-0.23471125667519027;0.3777439894587531;0.3545309516735607;-0.18131320178508759;0.21646302938461304;0.07781577855348587;0.2154950448502265;-0.9998314623829965;-0.38711133923836305;0.201729761199189;-0.0761560277678027;0.18680245177221708;-0.18892880456186786;0.23514327456183476;0.6928943991661072;0.1871739774942398;0.07043807208538055;0.6983566071484731;1.4456425477197667;3.797711629925742;0.27787503834908345;-0.16951662890437283;-0.22017867622093143;0.6759427362756699;0.16515610987214666;
6;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.330287058128944;2.433553842096482;0.3656720817089081;0.3561742603778839;0.009729047305881977;0.4464765649185657;0.9596964075580658;2.2690031483593613;0.4070832085055506;0.31182417217886726;-0.2616914677480673;0.3968544989267948;0.33000511360307716;-0.18321259319782257;0.21940620243549347;0.0891399085521698;0.21868858106068745;-0.9932018414925766;-0.3751607376846029;0.20337340481424282;-0.07452050844806617;0.1892285274644909;-0.1906646440426292;0.23832905518194256;0.6930936574935913;0.1909264475107193;0.07950208336114883;0.6990325006140725;1.4403520006039052;3.794121882553688;0.2786119549037626;-0.16917260677727416;-0.2213712956358119;0.676176396815864;0.1687893179471381;
7;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.266804171009952;2.435224713265889;0.37797611951828003;0.3311751186847687;0.024731725454330444;0.4430664537346672;1.0218815658928277;2.31534607008808;0.40525819089199044;0.2980240729289845;-0.27461946988490876;0.4077785268111785;0.3037131716962778;-0.18437957763671875;0.21982614696025848;0.09735167771577835;0.21989573471269575;-0.9944995702768065;-0.37442616467156453;0.20559303934421752;-0.07519329201266671;0.19134907019134115;-0.1918989068379854;0.2389610539793926;0.695988655090332;0.19104208052158356;0.09557781368494034;0.7019179926744631;1.4407251429890824;3.8016916965132004;0.27850857162124326;-0.17078008922765367;-0.2200026945059988;0.6789106461675667;0.16904181107098368;
8;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.20112093006559;2.4325707682185267;0.3933390974998474;0.30860647559165955;0.05326029658317566;0.4452328685988582;1.0831663565977747;2.3866792748076464;0.40330815765302186;0.2763570671816314;-0.2937417938398314;0.42097480421801053;0.2792322962076764;-0.1857006549835205;0.2195262312889099;0.1044706404209137;0.22084214549636694;-0.9988980205162218;-0.37722315369673143;0.20780993726634972;-0.07654477124980968;0.1931990373189228;-0.19335513210850147;0.23884613502080218;0.694394588470459;0.1958191841840744;0.10192126780748367;0.7009744364488335;1.433672747702305;3.7922974041147635;0.2786727948139276;-0.16880529189234997;-0.22172798650270542;0.677514059281224;0.17364638553380385;
9;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.1539491714344425;2.4312182857802935;0.41901081800460815;0.3008500337600708;0.08171074837446213;0.4646620295078052;1.1238102065101878;2.519721700127415;0.40186772132040915;0.23411080245650379;-0.32663404233550103;0.4424218982502585;0.2681866295265207;-0.18732108175754547;0.21884702146053314;0.1137496680021286;0.22184184046490746;-1.0054259292349559;-0.38205162559694417;0.20946561519028967;-0.0780940095168812;0.1943634986941318;-0.19513048270923358;0.23828337132994631;0.6893259286880493;0.20066149532794952;0.0993279442191124;0.6966369015515188;1.4257923565453376;3.7735080142255857;0.27875651253256806;-0.1646590580353943;-0.22492796154817307;0.6728600228845099;0.17816869917313222;
