i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
23;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.294712580588371;0.7873194217681885;-0.3741473853588104;0.17003722488880157;0.1296353058874816;2.849580189183933;3.34471986027246;0.3029241466774063;-0.061109865074902577;-0.2966961796699816;0.7812084352606982;-0.4038170033258086;0.5565930008888245;0.15540958940982819;0.18335218727588654;0.44918059006443695;-0.4451323914044373;0.8768329582587464;0.2970758533225937;0.2283672981580919;0.1900064203107894;0.5794297307046337;0.17441023144090712;
24;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.261103348617055;0.7970148921012878;-0.391504168510437;0.16503435373306274;0.14911012636680948;2.8208165750421377;3.3388695557932015;0.3022823774855329;-0.05924727959467354;-0.2964192901936998;0.7910901641418205;-0.421146097529807;0.5588103532791138;0.15581002831459045;0.18665510416030884;0.4485925323653371;-0.440286773574917;0.8789185585116502;0.2977176225144671;0.22925727261395626;0.18993916317936352;0.5817360805405094;0.1748039446325268;
25;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.277154516848683;0.7970858216285706;-0.4041099548339844;0.1567462831735611;0.16114264729540181;2.8450666147928616;3.378263055516629;0.30258888229719694;-0.07094715277598296;-0.2941539277365649;0.7899911063509722;-0.4335253476076409;0.5615137815475464;0.1587303727865219;0.19201037287712097;0.4500972919099994;-0.4320879020558204;0.8941876582739057;0.29741111770280304;0.2318916533182363;0.18622468701696204;0.58470294687937;0.17735284148821812;
26;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.4191912400857816;0.7725337743759155;-0.4063095152378082;0.13406191766262054;0.1579254113228877;2.9984178125343672;3.5274873530357476;0.30530038123951947;-0.1149114586233889;-0.28284921683123165;0.7610426285135766;-0.4345944369209314;0.5652557015419006;0.16283592581748962;0.194880872964859;0.4522874721439442;-0.42077342755141445;0.9158374389682256;0.2946996187604805;0.23371830228894674;0.1795093882579545;0.5886275317707953;0.18078686464328508;
27;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.529179197991493;0.7529690265655518;-0.40529966354370117;0.10660156607627869;0.15532804194843164;3.122476933369175;3.6482566674970616;0.3073986543780869;-0.14916921545402936;-0.26877960836768827;0.7380521050201488;-0.43217762438047;0.5710486173629761;0.1654740869998932;0.19896024465560913;0.45237408669827384;-0.40670226462231834;0.9303183947946557;0.2926013456219131;0.2346107573450282;0.17485233769597286;0.5945096930974789;0.18295932076949048;
28;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.3586185340699672;0.7829182147979736;-0.429705411195755;0.05055604502558708;0.18269549441220745;2.960422427976805;3.522830603143264;0.30414423843192684;-0.1131628935282711;-0.28230812474961814;0.7716019254451465;-0.45793622367071685;0.5740123987197876;0.16835223138332367;0.20350295305252075;0.4538614604786013;-0.3981961060931629;0.9458740373741654;0.29585576156807314;0.23994156264350977;0.17308575380202498;0.5980065549841386;0.18566080676352617;
29;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.205318939349271;0.8671659231185913;-0.494507372379303;0.0252922885119915;0.2711304274478665;2.6947297609134604;3.4129138194576587;0.30121706593102326;-0.08072753057530623;-0.2901978404731976;0.8590931700610607;-0.5235271564266227;0.5800212621688843;0.17172665894031525;0.21047744154930115;0.45469346396844124;-0.38313660691685547;0.9648869302077168;0.2987829340689767;0.24559494882812383;0.17015981547056794;0.6045807570516967;0.18874264048737205;
30;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.489159997605566;1.2410316467285156;-0.8067336678504944;0.05386021360754967;0.7423371572319295;2.4188193034105585;4.8704355343408965;0.30663537625059406;-0.30281366275682714;0.048261160534511995;1.210750280452833;-0.8019075517970432;0.5832278728485107;0.1734251081943512;0.21612520515918732;0.4550843489332835;-0.37520600616346156;0.974677337166896;0.2933646237494059;0.2427653213923056;0.16470519480854587;0.6075044049877413;0.1898956276752058;
31;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.4387828284448023;1.324341893196106;-0.9905614852905273;0.21037885546684265;0.9371765702234554;2.4819395388220262;5.194474459763131;0.3056742441019613;-0.2708365393935083;0.14171913221810967;1.297258239256755;-0.9763895720687163;0.5884295105934143;0.17606301605701447;0.2228991538286209;0.45566952575159486;-0.3624629399127577;0.9902075409565074;0.29432575589803867;0.2460974893298584;0.16144248613822845;0.6130392595264001;0.19220726467083732;
32;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.4499095866875717;1.4359934329986572;-1.1366244554519653;0.3056769073009491;1.1210218174160471;2.483086748244649;5.31311809755943;0.3058865549056519;-0.2523330701953421;0.17290056725714048;1.410760125979123;-1.1193343987262512;0.5936205387115479;0.17815223336219788;0.221632719039917;0.45581670751071035;-0.3501889722473659;1.0031830644524957;0.29411344509434806;0.24799249699574494;0.1581215988379878;0.6184197884111223;0.19396439324599665;
33;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.4555173874025864;1.490403652191162;-1.227024793624878;0.4357798993587494;1.2258772432571488;2.4931089326425098;5.365843930510066;0.3059935524377827;-0.242955258457177;0.186023645060246;1.4661081263454445;-1.2084224291188532;0.6006436944007874;0.1796456277370453;0.22688554227352142;0.45486555316467425;-0.3345589871344901;1.0142831473342566;0.2940064475622173;0.24964149432653635;0.15530265779621658;0.625607843833441;0.19517589351666695;
34;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.450885310430764;1.5096877813339233;-1.2817975282669067;0.5523090958595276;1.281300770485118;2.5069329033154055;5.397923468097068;0.3059051721030216;-0.2367953143928932;0.1936645383154854;1.486008249894634;-1.2624310744353582;0.6051819920539856;0.1792728155851364;0.22874286770820618;0.45304238833230875;-0.3253670934334166;1.0148181321715357;0.2940948278969784;0.2497996120584677;0.15521572604344053;0.6301619532598324;0.19479438818948047;
