i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
0;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.233045844454463;0.48199477791786194;-0.096965491771698;0.020203066989779472;0.4916515763572983;1.7693218221175466;3.2984002492687847;1.2679112384419984;-0.1980043367214148;-1.2523550579636091;0.4621943442457205;-0.22220099756805892;3.605278730392456;2;-0.0405772402882576;0.14067837595939636;0.005056360736489296;0.14641351676667105;-0.28081764060757636;0.23394820506540803;0.13208876155800153;0.030620812906703775;0.12849049282674274;-0.03751515899758722;0.15352742524207064;3.6158359050750732;2;
1;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.235625148131901;0.475698322057724;-0.10010617971420288;0.02485603652894497;0.48611741464949226;1.7782103518413461;3.2797049114426935;1.2682047893757273;-0.17459831210301868;-1.256128503460657;0.45823849084742213;-0.22571903006026858;3.55249285697937;2;-0.041156105697155;0.14908485114574432;0.005056596826761961;0.15466130051601187;-0.2693498072063388;0.255591409296688;0.13179521062427246;0.033320155372878586;0.12751370432005954;-0.03782409015986714;0.16183622157775027;3.5736072063446045;2;
2;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.236837582821353;0.47101762890815735;-0.10768470913171768;0.03313243016600609;0.4831703667683328;1.7955549837578644;3.282400920117803;1.268342339589299;-0.17800351108105358;-1.2557894092711859;0.453217277800052;-0.23326365005883626;3.578885793685913;2;-0.03952324017882347;0.15427525341510773;0.010165035724639893;0.15925746554095566;-0.2507927406003688;0.2799784585084719;0.13165766041070082;0.03638161247117906;0.12653109427653095;-0.03588507893170557;0.16692836284276083;3.578885793685913;2;
3;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.242193519472735;0.4674386978149414;-0.12059137970209122;0.04532141238451004;0.48274342778890533;1.823274459798818;3.3080010917615255;1.2689466477616116;-0.2101901968204953;-1.25141746672563;0.44641967813289185;-0.24573312637465422;3.5894429683685303;2;-0.03507601469755173;0.15855441987514496;0.03055218607187271;0.16238790247123283;-0.21771732790803355;0.3170921117934635;0.13105335223838832;0.04086308578614091;0.12451983517879217;-0.030989706118937636;0.17100640339302417;3.594721555709839;2;
4;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.209284072653208;0.466018408536911;-0.13705474138259888;0.06141623482108116;0.48575421689443554;1.8568290130599747;3.356516520304514;1.2651460317427539;-0.26982154941868985;-1.2360383542203432;0.439036253595042;-0.2606585768046332;3.6000001430511475;2;-0.03665345534682274;0.16619321703910828;0.043275605887174606;0.17018713576140143;-0.21707222146640315;0.3280431559090662;0.13485396825724594;0.04344875535595423;0.12766283097575712;-0.03230857981122732;0.178959500136684;3.594721555709839;2;
5;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.182834508681909;0.46518558263778687;-0.15313567221164703;0.07437411695718765;0.4897429533926652;1.8888156437223844;3.408371629705342;1.2619331137024057;-0.33267803744395585;-1.2172922848934378;0.4319177788933913;-0.2748649007009908;3.6000001430511475;2;-0.03719303384423256;0.17319396138191223;0.05624678358435631;0.17714251332104763;-0.21153515477529333;0.34307646412240134;0.13806688629759434;0.04644374832690996;0.13002093421160876;-0.03254865901154157;0.1861960548030731;3.578885793685913;2;
6;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.14259436511651;0.46394896507263184;-0.16567924618721008;0.08385681360960007;0.4926441462243597;1.9137881278148956;3.4478217562361357;1.2567508630484434;-0.3788668059933529;-1.1982832198981186;0.4260622844732965;-0.28550756817702194;3.594721555709839;2;-0.04328060895204544;0.18754591047763824;0.062037233263254166;0.19247514033803476;-0.2268028142481811;0.34982117213327446;0.1432491369515565;0.049095750343150196;0.13457311223126578;-0.03837103391773042;0.20100322170076482;3.5736072063446045;2;
7;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.109032801066899;0.4602438509464264;-0.18018877506256104;0.0916721299290657;0.49425944299784763;1.9439599406080488;3.4860613607600692;1.2521328759160397;-0.42284106866078885;-1.1785763316830924;0.41795974408034753;-0.29804640823087025;3.5841643810272217;2;-0.04755565896630287;0.202928826212883;0.07032091170549393;0.20842660388697448;-0.23019256550463812;0.3710303714654527;0.1478671240839603;0.05361305313036892;0.13780539510085066;-0.04219435365326598;0.21670936572296806;3.568328619003296;2;
8;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.089929666051827;0.4577091932296753;-0.19142483174800873;0.09652373939752579;0.49612616518050495;1.9669134146321612;3.5183429889959466;1.2493740647269678;-0.4596455525214972;-1.161749335984141;0.4117446379775256;-0.30759976534642286;3.578885793685913;2;-0.049849674105644226;0.21646633744239807;0.0763220489025116;0.222132089654253;-0.22634222649559846;0.39752699764792765;0.15062593527303203;0.05831322936125071;0.13888030694932166;-0.04401835116951915;0.23035436813733023;3.55249285697937;2;
9;0.2;0.05;0;0;5.0;0.5;3.141592653589793;0.7;0.7;3;4.057175301785503;0.4525240361690521;-0.20718048512935638;0.10413451492786407;0.49769645038835175;2.0001451404837662;3.5594242284890254;1.2444064085444617;-0.5049546488022315;-1.1373513583231616;0.40202857128882896;-0.32091562096167253;3.5736072063446045;2;-0.05275002494454384;0.22956180572509766;0.08320460468530655;0.23554444968926241;-0.22586486491031682;0.42163746528252777;0.1555935914555382;0.06367746416620793;0.14196670827836444;-0.046382278527923045;0.2437584765529341;3.5630500316619873;2;
