i; TZ; vz; CX; CY; k; R; D_12; v_f; v_cruis; k_f; p12;px1; py1; pz1; d1; phi1; angle1; v1; vx1; vy1; setPx1;setPy1;setPz1;px2; py2; pz2; d2; phi2; angle2; v2; vx2; vy2; setPx2;setPy2;setPz2
0;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.557390327782139;0.4268650412559509;0.09268311411142349;0.06099005416035652;0.1180630417695771;-0.6680506173351768;-0.18566515539456585;0.05447686950314577;-0.010056446351881897;0.05354061260047829;0.416808594904069;0.14622372671190179;0.3;1.130419135093689;0.35516077280044556;-0.012353876605629921;0.7235796158188016;1.0577443620622708;3.469548951054044;0.04552313049685423;-0.0146634065762682;-0.04309686668207649;1.1157557285174207;0.3120639061183691;0.3;
1;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.551412785570394;0.4255819618701935;0.0931520089507103;0.06052963808178902;0.11922810562381064;-0.6740626304150684;-0.190420567230687;0.05445821475012647;-0.010307408527290916;0.053473867292560984;0.4152745533429026;0.14662587624327128;0.3;1.1304150819778442;0.3551871180534363;-0.012373093515634537;0.7235890162352091;1.0577098911941243;3.4695353723339366;0.04554178524987353;-0.014668829997239024;-0.04311472637345272;1.1157462519806052;0.3120723916799836;0.3;
2;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.5436528785214545;0.4248100221157074;0.09350287914276123;0.06188475713133812;0.11998467061348389;-0.6772639587023617;-0.1928026553727975;0.054433992983804184;-0.010430117486553949;0.05342538948269376;0.4143799046291535;0.146928268625455;0.3;1.1283965110778809;0.35028553009033203;-0.009313036687672138;0.719431808947532;1.0622684699557698;3.4647587436818483;0.04556600701619582;-0.014470412514689605;-0.04320726972460446;1.1139260985631914;0.30707826036572755;0.3;
3;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.54787058872096;0.4248100221157074;0.09350287914276123;0.06188475713133812;0.11998467061348389;-0.6772639587023617;-0.1928026553727975;0.05444715878330158;-0.010432640190254982;0.053438311334048826;0.4143773819254524;0.14694119047681006;0.3;1.1311957836151123;0.3553435802459717;-0.007561859674751759;0.7243460342098388;1.058050759756265;3.4715554917204994;0.04555284121669843;-0.014759479121997234;-0.04309546517861325;1.1164363044931152;0.31224811506735844;0.3;
4;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.545640856272501;0.4245777726173401;0.0933646410703659;0.06329769641160965;0.12002278361027922;-0.6794936911508204;-0.19499104987948168;0.054440198749216503;-0.01054821066199256;0.05340852452263047;0.4140295619553475;0.14677316559299639;0.3;1.1311957836151123;0.3553435802459717;-0.007561859674751759;0.7243460342098388;1.058050759756265;3.4715554917204994;0.0455598012507835;-0.014761734227826492;-0.043102049749378625;1.1164340493872857;0.31224153049659303;0.3;
5;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.546523720063269;0.424286425113678;0.09348727762699127;0.06526027619838715;0.12030135701717098;-0.6807370014321056;-0.19593201787148173;0.05444295462968856;-0.01059899821387782;0.05340127850222822;0.41368742689980015;0.1468885561292195;0.3;1.1320480108261108;0.3575952351093292;-0.010322028771042824;0.726194905078616;1.0559245856842119;3.4735041243921243;0.045557045370311446;-0.014844798204867686;-0.04307059726924358;1.1172032126212432;0.31452463784008566;0.3;
6;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.542420562854179;0.4228305220603943;0.0943164974451065;0.06517810374498367;0.12186357132377204;-0.6857386219155194;-0.19923167652480533;0.054430145958536374;-0.010772611140942186;0.053353459478028435;0.4120579109194521;0.14766995692313495;0.3;1.1329551935195923;0.3588595986366272;-0.006029305513948202;0.7276073725142329;1.055026122409888;3.475693564334599;0.04556985404146363;-0.014943263253707057;-0.043050092690849195;1.1180119302658853;0.315809505945778;0.3;
7;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.540191066753238;0.42211830615997314;0.09472338110208511;0.06703367084264755;0.12262983797919058;-0.6881325245242356;-0.20078674239777228;0.05442318561882383;-0.010854178053776127;0.05332982234808099;0.411264128106197;0.1480532034501661;0.3;1.132891058921814;0.35896074771881104;-0.006063379812985659;0.7276014780537646;1.054861715902113;3.4755163163930014;0.045576814381176174;-0.01493791374726936;-0.04305931655304492;1.1179531451745446;0.31590143116576613;0.3;
8;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.540359459151238;0.42156440019607544;0.09505417197942734;0.06857619434595108;0.12323732765398623;-0.6898996163922194;-0.2018869191814493;0.054423711343650885;-0.010912949122916474;0.05331836360821354;0.410651451073159;0.14837253558764088;0.3;1.1327365636825562;0.3604935109615326;-0.009391595609486103;0.7282246428583573;1.0529262316361288;3.474936358577408;0.04557628865634912;-0.014912766629780794;-0.043067475885319235;1.1178237970527753;0.31742603507621336;0.3;
9;0.3;0.05;0.5;0.0;5.0;0.5;3.141592653589793;0.05;0.05;0.1;4.537863911937483;0.42043933272361755;0.09575279802083969;0.07028516381978989;0.12449296408344912;-0.6932984361243218;-0.20390194329160571;0.05441591994091937;-0.011018786986847797;0.05328863552723995;0.4094205457367698;0.14904143354807964;0.3;1.1331682205200195;0.3614974021911621;-0.008780380710959435;0.7290969532698973;1.052022959117782;3.475923542755952;0.045584080059080635;-0.014957831536120672;-0.043060093248502226;1.1182103889838988;0.31843730894265987;0.3;
